city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Firenze,2025,Agosto,1,25 °C,17 °C,32 °C,-,57 %,-,6 km/h,Nessuno,>
Firenze,2025,Agosto,2,24 °C,21 °C,29 °C,2 mm,67 %,-,10 km/h,Nessuno,>
Firenze,2025,Agosto,3,23 °C,18 °C,28 °C,1 mm,62 %,-,9 km/h,,>
Firenze,2025,Agosto,4,24 °C,14 °C,32 °C,-,53 %,-,6 km/h,Nessuno,>
Firenze,2025,Agosto,5,26 °C,17 °C,34 °C,-,57 %,-,4 km/h,Nessuno,>
Firenze,2025,Agosto,6,27 °C,17 °C,36 °C,-,52 %,-,8 km/h,Nessuno,>
Firenze,2025,Agosto,7,28 °C,19 °C,36 °C,-,51 %,-,4 km/h,Nessuno,>
Firenze,2025,Agosto,8,28 °C,19 °C,37 °C,-,49 %,-,3 km/h,Nessuno,>
Firenze,2025,Agosto,9,30 °C,19 °C,40 °C,-,45 %,-,4 km/h,Nessuno,>
Firenze,2025,Agosto,10,31 °C,20 °C,40 °C,-,43 %,8 km/h,6 km/h,Nessuno,>
Firenze,2025,Agosto,11,31 °C,21 °C,39 °C,-,44 %,24 km/h,8 km/h,Nessuno,>
Firenze,2025,Agosto,12,31 °C,20 °C,39 °C,-,42 %,-,7 km/h,Nessuno,>
Firenze,2025,Agosto,13,32 °C,22 °C,40 °C,-,43 %,-,6 km/h,Nessuno,>
Firenze,2025,Agosto,14,29 °C,22 °C,39 °C,2 mm,47 %,13 km/h,5 km/h,,>
Firenze,2025,Agosto,15,28 °C,19 °C,37 °C,-,44 %,26 km/h,7 km/h,Nessuno,>
Firenze,2025,Agosto,16,30 °C,19 °C,38 °C,-,38 %,-,9 km/h,Nessuno,>
Firenze,2025,Agosto,17,30 °C,23 °C,36 °C,-,40 %,11 km/h,8 km/h,Nessuno,>
Firenze,2025,Agosto,18,27 °C,20 °C,34 °C,2 mm,56 %,-,6 km/h,,>
Firenze,2025,Agosto,19,27 °C,20 °C,35 °C,0 mm,59 %,-,6 km/h,Nessuno,>
Firenze,2025,Agosto,20,26 °C,22 °C,30 °C,1 mm,67 %,-,3 km/h,,>
Firenze,2025,Agosto,21,24 °C,19 °C,30 °C,20 mm,70 %,-,10 km/h,,>
Firenze,2025,Agosto,22,24 °C,19 °C,30 °C,1 mm,66 %,-,4 km/h,,>
Firenze,2025,Agosto,23,23 °C,17 °C,29 °C,1 mm,73 %,-,4 km/h,Nessuno,>
Firenze,2025,Agosto,24,24 °C,18 °C,30 °C,1 mm,69 %,-,2 km/h,Nessuno,>
Firenze,2025,Agosto,25,24 °C,18 °C,31 °C,-,66 %,-,5 km/h,Nessuno,>
Firenze,2025,Agosto,26,25 °C,18 °C,32 °C,-,62 %,-,5 km/h,Nessuno,>
Firenze,2025,Agosto,27,25 °C,18 °C,31 °C,1 mm,69 %,-,4 km/h,,>
Firenze,2025,Agosto,28,27 °C,19 °C,34 °C,13 mm,61 %,24 km/h,9 km/h,,>
Firenze,2025,Agosto,29,24 °C,19 °C,30 °C,2 mm,69 %,24 km/h,11 km/h,,>
Firenze,2025,Agosto,30,21 °C,17 °C,26 °C,7 mm,77 %,-,7 km/h,,>
Firenze,2025,Agosto,31,21 °C,14 °C,30 °C,-,73 %,-,5 km/h,,>
