city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Firenze,2025,Dicembre,1,9 °C,6 °C,12 °C,10 mm,92 %,-,2 km/h,,>
Firenze,2025,Dicembre,2,10 °C,6 °C,14 °C,0 mm,89 %,-,4 km/h,,>
Firenze,2025,Dicembre,3,8 °C,3 °C,14 °C,0 mm,88 %,-,3 km/h,,>
Firenze,2025,Dicembre,4,8 °C,4 °C,13 °C,0 mm,89 %,-,4 km/h,Nessuno,>
Firenze,2025,Dicembre,5,9 °C,4 °C,15 °C,0 mm,86 %,-,5 km/h,Nessuno,>
Firenze,2025,Dicembre,6,6 °C,1 °C,13 °C,-,90 %,-,2 km/h,,>
Firenze,2025,Dicembre,7,8 °C,4 °C,14 °C,-,89 %,-,2 km/h,,>
Firenze,2025,Dicembre,8,6 °C,1 °C,15 °C,-,91 %,-,1 km/h,,>
Firenze,2025,Dicembre,9,7 °C,1 °C,15 °C,0 mm,92 %,-,1 km/h,,>
Firenze,2025,Dicembre,10,10 °C,7 °C,15 °C,0 mm,93 %,-,1 km/h,Nessuno,>
Firenze,2025,Dicembre,11,8 °C,5 °C,11 °C,0 mm,99 %,-,1 km/h,,>
Firenze,2025,Dicembre,12,8 °C,3 °C,12 °C,0 mm,93 %,-,4 km/h,,>
Firenze,2025,Dicembre,13,5 °C,0 °C,14 °C,-,90 %,-,3 km/h,,>
Firenze,2025,Dicembre,14,4 °C,-1 °C,12 °C,-,92 %,-,1 km/h,,>
Firenze,2025,Dicembre,15,5 °C,-1 °C,10 °C,0 mm,92 %,-,2 km/h,,>
Firenze,2025,Dicembre,16,9 °C,7 °C,11 °C,15 mm,99 %,-,4 km/h,,>
Firenze,2025,Dicembre,17,11 °C,9 °C,12 °C,3 mm,100 %,-,3 km/h,,>
Firenze,2025,Dicembre,18,12 °C,10 °C,14 °C,2 mm,100 %,-,2 km/h,,>
Firenze,2025,Dicembre,19,12 °C,8 °C,14 °C,1 mm,100 %,-,3 km/h,,>
Firenze,2025,Dicembre,20,11 °C,7 °C,16 °C,-,91 %,-,4 km/h,,>
Firenze,2025,Dicembre,21,9 °C,4 °C,15 °C,-,88 %,-,4 km/h,Nessuno,>
Firenze,2025,Dicembre,22,10 °C,4 °C,16 °C,1 mm,81 %,-,5 km/h,,>
Firenze,2025,Dicembre,23,12 °C,10 °C,13 °C,7 mm,90 %,-,6 km/h,,>
Firenze,2025,Dicembre,24,11 °C,10 °C,13 °C,14 mm,80 %,24 km/h,7 km/h,,>
Firenze,2025,Dicembre,25,10 °C,9 °C,11 °C,6 mm,71 %,28 km/h,7 km/h,,>
Firenze,2025,Dicembre,26,9 °C,6 °C,13 °C,0 mm,66 %,15 km/h,7 km/h,Nessuno,>
Firenze,2025,Dicembre,27,7 °C,2 °C,15 °C,-,71 %,-,5 km/h,Nessuno,>
Firenze,2025,Dicembre,28,3 °C,-2 °C,12 °C,-,85 %,-,2 km/h,Nessuno,>
Firenze,2025,Dicembre,29,2 °C,-4 °C,12 °C,0 mm,83 %,-,2 km/h,,>
Firenze,2025,Dicembre,30,6 °C,2 °C,13 °C,0 mm,78 %,-,6 km/h,Nessuno,>
Firenze,2025,Dicembre,31,6 °C,0 °C,10 °C,-,57 %,-,5 km/h,Nessuno,>
