city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Firenze,2025,Novembre,1,17 °C,12 °C,22 °C,0 mm,91 %,-,3 km/h,,>
Firenze,2025,Novembre,2,18 °C,15 °C,21 °C,4 mm,91 %,-,5 km/h,,>
Firenze,2025,Novembre,3,15 °C,10 °C,21 °C,-,74 %,-,8 km/h,,>
Firenze,2025,Novembre,4,12 °C,5 °C,21 °C,-,72 %,-,7 km/h,Nessuno,>
Firenze,2025,Novembre,5,9 °C,4 °C,19 °C,-,82 %,-,3 km/h,,>
Firenze,2025,Novembre,6,9 °C,2 °C,19 °C,-,82 %,-,2 km/h,,>
Firenze,2025,Novembre,7,11 °C,3 °C,17 °C,-,84 %,-,7 km/h,,>
Firenze,2025,Novembre,8,11 °C,5 °C,18 °C,-,78 %,-,7 km/h,Nessuno,>
Firenze,2025,Novembre,9,10 °C,3 °C,17 °C,-,77 %,-,8 km/h,Nessuno,>
Firenze,2025,Novembre,10,10 °C,4 °C,17 °C,-,81 %,-,4 km/h,Nessuno,>
Firenze,2025,Novembre,11,10 °C,2 °C,18 °C,0 mm,87 %,-,3 km/h,,>
Firenze,2025,Novembre,12,14 °C,11 °C,19 °C,0 mm,86 %,-,1 km/h,Nessuno,>
Firenze,2025,Novembre,13,15 °C,10 °C,20 °C,0 mm,87 %,-,3 km/h,Nessuno,>
Firenze,2025,Novembre,14,15 °C,11 °C,18 °C,0 mm,86 %,-,3 km/h,Nessuno,>
Firenze,2025,Novembre,15,16 °C,13 °C,20 °C,7 mm,86 %,-,4 km/h,,>
Firenze,2025,Novembre,16,18 °C,15 °C,21 °C,2 mm,78 %,-,6 km/h,Nessuno,>
Firenze,2025,Novembre,17,15 °C,12 °C,19 °C,22 mm,85 %,-,10 km/h,,>
Firenze,2025,Novembre,18,12 °C,6 °C,15 °C,2 mm,75 %,26 km/h,10 km/h,,>
Firenze,2025,Novembre,19,8 °C,2 °C,12 °C,3 mm,81 %,-,4 km/h,,>
Firenze,2025,Novembre,20,11 °C,8 °C,14 °C,3 mm,87 %,-,5 km/h,,>
Firenze,2025,Novembre,21,9 °C,6 °C,12 °C,4 mm,74 %,-,7 km/h,,>
Firenze,2025,Novembre,22,7 °C,5 °C,8 °C,8 mm,70 %,30 km/h,7 km/h,,>
Firenze,2025,Novembre,23,4 °C,-2 °C,8 °C,1 mm,78 %,-,4 km/h,,>
Firenze,2025,Novembre,24,8 °C,5 °C,13 °C,25 mm,99 %,9 km/h,5 km/h,,>
Firenze,2025,Novembre,25,11 °C,4 °C,14 °C,6 mm,90 %,-,4 km/h,,>
Firenze,2025,Novembre,26,8 °C,3 °C,13 °C,1 mm,79 %,26 km/h,7 km/h,,>
Firenze,2025,Novembre,27,10 °C,8 °C,11 °C,1 mm,59 %,26 km/h,7 km/h,Nessuno,>
Firenze,2025,Novembre,28,9 °C,4 °C,12 °C,-,55 %,22 km/h,7 km/h,Nessuno,>
Firenze,2025,Novembre,29,4 °C,-2 °C,14 °C,-,72 %,-,3 km/h,Nessuno,>
Firenze,2025,Novembre,30,4 °C,-2 °C,10 °C,0 mm,85 %,-,2 km/h,Nessuno,>
