city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Firenze,2025,Ottobre,1,18 °C,14 °C,20 °C,1 mm,65 %,21 km/h,9 km/h,Nessuno,>
Firenze,2025,Ottobre,2,15 °C,9 °C,19 °C,-,49 %,28 km/h,9 km/h,Nessuno,>
Firenze,2025,Ottobre,3,13 °C,6 °C,20 °C,-,66 %,-,6 km/h,Nessuno,>
Firenze,2025,Ottobre,4,13 °C,4 °C,21 °C,2 mm,71 %,-,8 km/h,Nessuno,>
Firenze,2025,Ottobre,5,15 °C,8 °C,19 °C,5 mm,74 %,-,12 km/h,,>
Firenze,2025,Ottobre,6,12 °C,5 °C,22 °C,-,73 %,-,3 km/h,Nessuno,>
Firenze,2025,Ottobre,7,13 °C,5 °C,22 °C,-,75 %,-,3 km/h,Nessuno,>
Firenze,2025,Ottobre,8,15 °C,8 °C,24 °C,-,74 %,-,2 km/h,Nessuno,>
Firenze,2025,Ottobre,9,16 °C,9 °C,25 °C,-,76 %,-,5 km/h,Nessuno,>
Firenze,2025,Ottobre,10,18 °C,9 °C,27 °C,-,72 %,-,5 km/h,Nessuno,>
Firenze,2025,Ottobre,11,18 °C,9 °C,27 °C,-,74 %,-,5 km/h,Nessuno,>
Firenze,2025,Ottobre,12,17 °C,9 °C,26 °C,-,74 %,-,3 km/h,,>
Firenze,2025,Ottobre,13,17 °C,9 °C,25 °C,0 mm,76 %,-,3 km/h,,>
Firenze,2025,Ottobre,14,17 °C,10 °C,24 °C,-,75 %,-,5 km/h,Nessuno,>
Firenze,2025,Ottobre,15,17 °C,11 °C,22 °C,-,67 %,-,9 km/h,Nessuno,>
Firenze,2025,Ottobre,16,18 °C,14 °C,22 °C,-,53 %,15 km/h,8 km/h,Nessuno,>
Firenze,2025,Ottobre,17,16 °C,10 °C,21 °C,-,57 %,5 km/h,7 km/h,Nessuno,>
Firenze,2025,Ottobre,18,14 °C,6 °C,22 °C,-,68 %,-,5 km/h,Nessuno,>
Firenze,2025,Ottobre,19,12 °C,5 °C,21 °C,-,70 %,-,4 km/h,Nessuno,>
Firenze,2025,Ottobre,20,13 °C,8 °C,18 °C,4 mm,82 %,-,6 km/h,,>
Firenze,2025,Ottobre,21,17 °C,14 °C,21 °C,8 mm,88 %,-,8 km/h,,>
Firenze,2025,Ottobre,22,17 °C,15 °C,19 °C,10 mm,97 %,-,9 km/h,,>
Firenze,2025,Ottobre,23,18 °C,15 °C,22 °C,9 mm,86 %,-,12 km/h,,>
Firenze,2025,Ottobre,24,17 °C,13 °C,21 °C,1 mm,69 %,24 km/h,9 km/h,Nessuno,>
Firenze,2025,Ottobre,25,16 °C,14 °C,20 °C,3 mm,85 %,18 km/h,8 km/h,,>
Firenze,2025,Ottobre,26,16 °C,12 °C,20 °C,4 mm,79 %,-,7 km/h,,>
Firenze,2025,Ottobre,27,13 °C,5 °C,17 °C,0 mm,84 %,-,9 km/h,,>
Firenze,2025,Ottobre,28,15 °C,10 °C,21 °C,0 mm,85 %,-,2 km/h,Nessuno,>
Firenze,2025,Ottobre,29,16 °C,11 °C,21 °C,1 mm,83 %,-,8 km/h,,>
Firenze,2025,Ottobre,30,18 °C,17 °C,20 °C,23 mm,88 %,-,7 km/h,,>
Firenze,2025,Ottobre,31,18 °C,14 °C,22 °C,1 mm,94 %,-,4 km/h,,>
