city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Firenze,2025,Settembre,1,23 °C,15 °C,31 °C,4 mm,67 %,-,4 km/h,Nessuno,>
Firenze,2025,Settembre,2,23 °C,20 °C,27 °C,21 mm,69 %,-,9 km/h,,>
Firenze,2025,Settembre,3,22 °C,17 °C,29 °C,0 mm,69 %,-,4 km/h,Nessuno,>
Firenze,2025,Settembre,4,23 °C,15 °C,32 °C,-,67 %,-,4 km/h,Nessuno,>
Firenze,2025,Settembre,5,23 °C,17 °C,30 °C,0 mm,72 %,-,8 km/h,Nessuno,>
Firenze,2025,Settembre,6,23 °C,15 °C,31 °C,-,64 %,-,5 km/h,Nessuno,>
Firenze,2025,Settembre,7,23 °C,14 °C,31 °C,-,58 %,-,3 km/h,Nessuno,>
Firenze,2025,Settembre,8,23 °C,14 °C,30 °C,0 mm,63 %,-,2 km/h,Nessuno,>
Firenze,2025,Settembre,9,22 °C,19 °C,27 °C,11 mm,82 %,-,3 km/h,,>
Firenze,2025,Settembre,10,21 °C,19 °C,23 °C,16 mm,93 %,-,6 km/h,,>
Firenze,2025,Settembre,11,22 °C,18 °C,27 °C,2 mm,77 %,-,9 km/h,,>
Firenze,2025,Settembre,12,21 °C,15 °C,28 °C,-,76 %,-,5 km/h,Nessuno,>
Firenze,2025,Settembre,13,21 °C,16 °C,27 °C,0 mm,77 %,-,7 km/h,,>
Firenze,2025,Settembre,14,21 °C,16 °C,26 °C,1 mm,79 %,-,6 km/h,Nessuno,>
Firenze,2025,Settembre,15,22 °C,15 °C,29 °C,0 mm,74 %,-,3 km/h,,>
Firenze,2025,Settembre,16,23 °C,18 °C,28 °C,2 mm,76 %,-,6 km/h,,>
Firenze,2025,Settembre,17,22 °C,16 °C,29 °C,0 mm,72 %,-,6 km/h,Nessuno,>
Firenze,2025,Settembre,18,24 °C,16 °C,32 °C,-,59 %,-,3 km/h,Nessuno,>
Firenze,2025,Settembre,19,24 °C,15 °C,34 °C,-,63 %,-,3 km/h,Nessuno,>
Firenze,2025,Settembre,20,25 °C,16 °C,35 °C,-,67 %,-,3 km/h,Nessuno,>
Firenze,2025,Settembre,21,24 °C,16 °C,32 °C,-,66 %,-,4 km/h,Nessuno,>
Firenze,2025,Settembre,22,22 °C,19 °C,27 °C,29 mm,82 %,-,6 km/h,,>
Firenze,2025,Settembre,23,21 °C,19 °C,25 °C,7 mm,86 %,-,3 km/h,,>
Firenze,2025,Settembre,24,20 °C,15 °C,24 °C,2 mm,72 %,-,7 km/h,,>
Firenze,2025,Settembre,25,15 °C,11 °C,19 °C,4 mm,89 %,-,4 km/h,,>
Firenze,2025,Settembre,26,16 °C,13 °C,20 °C,3 mm,90 %,-,4 km/h,,>
Firenze,2025,Settembre,27,17 °C,10 °C,24 °C,0 mm,81 %,-,7 km/h,,>
Firenze,2025,Settembre,28,17 °C,11 °C,23 °C,-,74 %,-,6 km/h,Nessuno,>
Firenze,2025,Settembre,29,18 °C,10 °C,26 °C,-,69 %,-,3 km/h,Nessuno,>
Firenze,2025,Settembre,30,18 °C,10 °C,25 °C,0 mm,72 %,-,5 km/h,,>
