city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Milano,2025,Dicembre,1,6 °C,6 °C,7 °C,8 mm,92 %,-,4 km/h,,>
Milano,2025,Dicembre,2,8 °C,7 °C,9 °C,1 mm,94 %,-,3 km/h,,>
Milano,2025,Dicembre,3,8 °C,6 °C,11 °C,2 mm,94 %,-,4 km/h,,>
Milano,2025,Dicembre,4,9 °C,8 °C,12 °C,5 mm,92 %,-,3 km/h,,>
Milano,2025,Dicembre,5,8 °C,3 °C,11 °C,2 mm,93 %,-,3 km/h,,>
Milano,2025,Dicembre,6,5 °C,3 °C,8 °C,0 mm,96 %,-,3 km/h,,>
Milano,2025,Dicembre,7,5 °C,1 °C,10 °C,0 mm,94 %,-,4 km/h,,>
Milano,2025,Dicembre,8,6 °C,2 °C,13 °C,-,87 %,-,4 km/h,,>
Milano,2025,Dicembre,9,6 °C,0 °C,13 °C,0 mm,89 %,-,3 km/h,,>
Milano,2025,Dicembre,10,6 °C,2 °C,11 °C,0 mm,91 %,-,3 km/h,,>
Milano,2025,Dicembre,11,8 °C,5 °C,10 °C,0 mm,90 %,-,4 km/h,,>
Milano,2025,Dicembre,12,7 °C,3 °C,12 °C,-,90 %,-,4 km/h,,>
Milano,2025,Dicembre,13,5 °C,0 °C,12 °C,-,87 %,-,3 km/h,,>
Milano,2025,Dicembre,14,5 °C,-1 °C,12 °C,0 mm,85 %,-,3 km/h,,>
Milano,2025,Dicembre,15,4 °C,-1 °C,10 °C,1 mm,90 %,-,3 km/h,,>
Milano,2025,Dicembre,16,6 °C,3 °C,8 °C,43 mm,94 %,-,5 km/h,,>
Milano,2025,Dicembre,17,8 °C,7 °C,10 °C,7 mm,98 %,-,4 km/h,,>
Milano,2025,Dicembre,18,10 °C,9 °C,11 °C,0 mm,98 %,-,2 km/h,,>
Milano,2025,Dicembre,19,10 °C,9 °C,11 °C,0 mm,92 %,-,2 km/h,Nessuno,>
Milano,2025,Dicembre,20,10 °C,8 °C,11 °C,0 mm,94 %,-,2 km/h,,>
Milano,2025,Dicembre,21,8 °C,6 °C,11 °C,0 mm,90 %,-,5 km/h,,>
Milano,2025,Dicembre,22,8 °C,7 °C,10 °C,1 mm,83 %,-,4 km/h,Nessuno,>
Milano,2025,Dicembre,23,8 °C,7 °C,10 °C,5 mm,92 %,-,3 km/h,,>
Milano,2025,Dicembre,24,7 °C,6 °C,8 °C,11 mm,94 %,-,7 km/h,,>
Milano,2025,Dicembre,25,6 °C,5 °C,8 °C,6 mm,94 %,-,4 km/h,,>
Milano,2025,Dicembre,26,7 °C,3 °C,10 °C,0 mm,75 %,-,4 km/h,Nessuno,>
Milano,2025,Dicembre,27,4 °C,0 °C,10 °C,-,89 %,-,6 km/h,,>
Milano,2025,Dicembre,28,3 °C,-1 °C,10 °C,-,87 %,-,6 km/h,,>
Milano,2025,Dicembre,29,3 °C,-2 °C,10 °C,0 mm,86 %,-,4 km/h,,>
Milano,2025,Dicembre,30,1 °C,-2 °C,5 °C,0 mm,94 %,-,5 km/h,,>
Milano,2025,Dicembre,31,3 °C,0 °C,8 °C,0 mm,79 %,-,4 km/h,Nessuno,>
