city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Milano,2025,Novembre,1,16 °C,15 °C,18 °C,1 mm,94 %,-,2 km/h,,>
Milano,2025,Novembre,2,15 °C,11 °C,16 °C,10 mm,96 %,-,8 km/h,,>
Milano,2025,Novembre,3,12 °C,6 °C,18 °C,-,74 %,-,9 km/h,Nessuno,>
Milano,2025,Novembre,4,10 °C,4 °C,16 °C,-,82 %,-,3 km/h,,>
Milano,2025,Novembre,5,9 °C,4 °C,16 °C,0 mm,83 %,-,4 km/h,,>
Milano,2025,Novembre,6,8 °C,2 °C,16 °C,-,84 %,-,3 km/h,,>
Milano,2025,Novembre,7,8 °C,3 °C,14 °C,0 mm,84 %,-,3 km/h,,>
Milano,2025,Novembre,8,8 °C,3 °C,14 °C,-,85 %,-,3 km/h,,>
Milano,2025,Novembre,9,8 °C,4 °C,14 °C,-,87 %,-,3 km/h,,>
Milano,2025,Novembre,10,8 °C,3 °C,15 °C,-,86 %,-,4 km/h,,>
Milano,2025,Novembre,11,9 °C,3 °C,17 °C,-,84 %,-,4 km/h,,>
Milano,2025,Novembre,12,12 °C,7 °C,17 °C,0 mm,76 %,-,3 km/h,Nessuno,>
Milano,2025,Novembre,13,12 °C,8 °C,16 °C,0 mm,77 %,-,3 km/h,Nessuno,>
Milano,2025,Novembre,14,13 °C,11 °C,14 °C,1 mm,84 %,-,4 km/h,Nessuno,>
Milano,2025,Novembre,15,11 °C,10 °C,12 °C,14 mm,93 %,-,6 km/h,,>
Milano,2025,Novembre,16,12 °C,11 °C,13 °C,33 mm,99 %,-,5 km/h,,>
Milano,2025,Novembre,17,12 °C,11 °C,15 °C,2 mm,87 %,-,12 km/h,,>
Milano,2025,Novembre,18,9 °C,4 °C,12 °C,0 mm,65 %,-,10 km/h,Nessuno,>
Milano,2025,Novembre,19,7 °C,4 °C,9 °C,0 mm,71 %,-,3 km/h,,>
Milano,2025,Novembre,20,7 °C,6 °C,10 °C,4 mm,76 %,-,4 km/h,,>
Milano,2025,Novembre,21,4 °C,3 °C,6 °C,14 mm,89 %,-,5 km/h,,>
Milano,2025,Novembre,22,4 °C,0 °C,9 °C,-,80 %,-,7 km/h,Nessuno,>
Milano,2025,Novembre,23,3 °C,-2 °C,7 °C,1 mm,79 %,-,3 km/h,,>
Milano,2025,Novembre,24,4 °C,3 °C,4 °C,5 mm,95 %,-,4 km/h,,>
Milano,2025,Novembre,25,5 °C,1 °C,9 °C,0 mm,84 %,-,8 km/h,,>
Milano,2025,Novembre,26,4 °C,-1 °C,12 °C,0 mm,84 %,-,7 km/h,,>
Milano,2025,Novembre,27,3 °C,-2 °C,10 °C,-,81 %,-,5 km/h,,>
Milano,2025,Novembre,28,3 °C,-2 °C,9 °C,-,82 %,-,3 km/h,,>
Milano,2025,Novembre,29,3 °C,0 °C,10 °C,-,80 %,-,4 km/h,Nessuno,>
Milano,2025,Novembre,30,4 °C,-1 °C,8 °C,1 mm,83 %,-,3 km/h,,>
