city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Milano,2025,Ottobre,1,16 °C,13 °C,19 °C,1 mm,69 %,-,4 km/h,Nessuno,>
Milano,2025,Ottobre,2,14 °C,8 °C,19 °C,-,66 %,-,4 km/h,Nessuno,>
Milano,2025,Ottobre,3,13 °C,8 °C,17 °C,-,72 %,-,2 km/h,Nessuno,>
Milano,2025,Ottobre,4,12 °C,9 °C,15 °C,1 mm,88 %,-,10 km/h,,>
Milano,2025,Ottobre,5,16 °C,10 °C,21 °C,0 mm,68 %,-,11 km/h,Nessuno,>
Milano,2025,Ottobre,6,13 °C,7 °C,23 °C,-,71 %,-,8 km/h,Nessuno,>
Milano,2025,Ottobre,7,14 °C,7 °C,22 °C,-,69 %,-,5 km/h,Nessuno,>
Milano,2025,Ottobre,8,15 °C,9 °C,21 °C,-,74 %,-,4 km/h,Nessuno,>
Milano,2025,Ottobre,9,16 °C,10 °C,22 °C,-,77 %,-,4 km/h,,>
Milano,2025,Ottobre,10,16 °C,10 °C,23 °C,-,80 %,-,2 km/h,,>
Milano,2025,Ottobre,11,16 °C,9 °C,22 °C,-,84 %,-,4 km/h,,>
Milano,2025,Ottobre,12,16 °C,10 °C,22 °C,0 mm,85 %,-,2 km/h,,>
Milano,2025,Ottobre,13,15 °C,11 °C,20 °C,0 mm,89 %,-,4 km/h,,>
Milano,2025,Ottobre,14,16 °C,13 °C,19 °C,0 mm,79 %,-,5 km/h,Nessuno,>
Milano,2025,Ottobre,15,16 °C,12 °C,20 °C,0 mm,77 %,-,6 km/h,Nessuno,>
Milano,2025,Ottobre,16,14 °C,10 °C,19 °C,0 mm,74 %,-,3 km/h,Nessuno,>
Milano,2025,Ottobre,17,15 °C,10 °C,19 °C,-,67 %,-,4 km/h,Nessuno,>
Milano,2025,Ottobre,18,12 °C,7 °C,19 °C,-,77 %,-,4 km/h,,>
Milano,2025,Ottobre,19,12 °C,7 °C,18 °C,0 mm,77 %,-,3 km/h,,>
Milano,2025,Ottobre,20,13 °C,12 °C,13 °C,10 mm,86 %,-,5 km/h,,>
Milano,2025,Ottobre,21,13 °C,12 °C,16 °C,0 mm,93 %,-,2 km/h,,>
Milano,2025,Ottobre,22,14 °C,11 °C,17 °C,1 mm,90 %,-,3 km/h,,>
Milano,2025,Ottobre,23,14 °C,11 °C,15 °C,5 mm,92 %,-,8 km/h,,>
Milano,2025,Ottobre,24,12 °C,7 °C,20 °C,-,61 %,-,8 km/h,Nessuno,>
Milano,2025,Ottobre,25,11 °C,5 °C,17 °C,0 mm,76 %,-,6 km/h,Nessuno,>
Milano,2025,Ottobre,26,13 °C,7 °C,18 °C,-,64 %,-,10 km/h,Nessuno,>
Milano,2025,Ottobre,27,11 °C,4 °C,18 °C,-,61 %,-,7 km/h,Nessuno,>
Milano,2025,Ottobre,28,11 °C,4 °C,19 °C,0 mm,73 %,-,5 km/h,Nessuno,>
Milano,2025,Ottobre,29,13 °C,11 °C,14 °C,8 mm,79 %,-,6 km/h,,>
Milano,2025,Ottobre,30,14 °C,12 °C,16 °C,12 mm,94 %,-,5 km/h,,>
Milano,2025,Ottobre,31,15 °C,14 °C,16 °C,2 mm,96 %,-,3 km/h,,>
