city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Milano,2025,Settembre,1,20 °C,17 °C,23 °C,3 mm,81 %,-,4 km/h,,>
Milano,2025,Settembre,2,19 °C,17 °C,24 °C,1 mm,83 %,-,4 km/h,,>
Milano,2025,Settembre,3,21 °C,15 °C,27 °C,0 mm,75 %,-,3 km/h,,>
Milano,2025,Settembre,4,22 °C,15 °C,29 °C,0 mm,72 %,9 km/h,3 km/h,,>
Milano,2025,Settembre,5,22 °C,17 °C,28 °C,0 mm,70 %,-,4 km/h,,>
Milano,2025,Settembre,6,20 °C,13 °C,27 °C,-,65 %,-,3 km/h,Nessuno,>
Milano,2025,Settembre,7,21 °C,14 °C,28 °C,-,70 %,-,1 km/h,Nessuno,>
Milano,2025,Settembre,8,20 °C,15 °C,24 °C,-,78 %,-,2 km/h,Nessuno,>
Milano,2025,Settembre,9,22 °C,18 °C,26 °C,2 mm,78 %,-,5 km/h,Nessuno,>
Milano,2025,Settembre,10,21 °C,18 °C,25 °C,7 mm,79 %,-,7 km/h,,>
Milano,2025,Settembre,11,21 °C,16 °C,27 °C,0 mm,76 %,-,3 km/h,,>
Milano,2025,Settembre,12,23 °C,17 °C,27 °C,0 mm,67 %,-,6 km/h,Nessuno,>
Milano,2025,Settembre,13,21 °C,18 °C,24 °C,1 mm,75 %,-,5 km/h,Nessuno,>
Milano,2025,Settembre,14,21 °C,17 °C,25 °C,0 mm,78 %,-,3 km/h,,>
Milano,2025,Settembre,15,21 °C,15 °C,26 °C,0 mm,76 %,-,4 km/h,Nessuno,>
Milano,2025,Settembre,16,23 °C,18 °C,27 °C,0 mm,73 %,-,6 km/h,Nessuno,>
Milano,2025,Settembre,17,21 °C,18 °C,26 °C,0 mm,69 %,-,6 km/h,Nessuno,>
Milano,2025,Settembre,18,21 °C,15 °C,27 °C,-,71 %,-,4 km/h,Nessuno,>
Milano,2025,Settembre,19,22 °C,15 °C,28 °C,-,75 %,-,2 km/h,,>
Milano,2025,Settembre,20,23 °C,16 °C,30 °C,-,76 %,-,4 km/h,,>
Milano,2025,Settembre,21,24 °C,19 °C,28 °C,9 mm,69 %,-,7 km/h,Nessuno,>
Milano,2025,Settembre,22,21 °C,19 °C,23 °C,27 mm,88 %,-,12 km/h,,>
Milano,2025,Settembre,23,20 °C,18 °C,24 °C,5 mm,81 %,-,4 km/h,,>
Milano,2025,Settembre,24,17 °C,12 °C,22 °C,10 mm,80 %,11 km/h,4 km/h,,>
Milano,2025,Settembre,25,15 °C,11 °C,20 °C,1 mm,79 %,-,6 km/h,Nessuno,>
Milano,2025,Settembre,26,14 °C,12 °C,17 °C,5 mm,85 %,-,6 km/h,,>
Milano,2025,Settembre,27,15 °C,11 °C,17 °C,6 mm,87 %,-,7 km/h,,>
Milano,2025,Settembre,28,15 °C,8 °C,22 °C,-,76 %,-,5 km/h,,>
Milano,2025,Settembre,29,15 °C,9 °C,23 °C,-,77 %,-,3 km/h,,>
Milano,2025,Settembre,30,16 °C,10 °C,22 °C,0 mm,78 %,-,8 km/h,,>
