city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Napoli,2025,Agosto,1,25 °C,21 °C,30 °C,-,65 %,-,7 km/h,Nessuno,>
Napoli,2025,Agosto,2,25 °C,20 °C,30 °C,1 mm,70 %,-,7 km/h,Nessuno,>
Napoli,2025,Agosto,3,25 °C,22 °C,28 °C,-,63 %,-,8 km/h,Nessuno,>
Napoli,2025,Agosto,4,25 °C,20 °C,29 °C,-,49 %,11 km/h,7 km/h,Nessuno,>
Napoli,2025,Agosto,5,26 °C,20 °C,31 °C,0 mm,48 %,18 km/h,6 km/h,Nessuno,>
Napoli,2025,Agosto,6,26 °C,18 °C,35 °C,-,51 %,11 km/h,5 km/h,Nessuno,>
Napoli,2025,Agosto,7,27 °C,21 °C,33 °C,-,47 %,-,7 km/h,Nessuno,>
Napoli,2025,Agosto,8,29 °C,22 °C,36 °C,-,45 %,-,7 km/h,Nessuno,>
Napoli,2025,Agosto,9,29 °C,23 °C,33 °C,-,51 %,-,5 km/h,Nessuno,>
Napoli,2025,Agosto,10,29 °C,23 °C,35 °C,-,56 %,-,7 km/h,Nessuno,>
Napoli,2025,Agosto,11,29 °C,23 °C,35 °C,-,54 %,-,7 km/h,Nessuno,>
Napoli,2025,Agosto,12,29 °C,25 °C,34 °C,1 mm,52 %,-,6 km/h,,>
Napoli,2025,Agosto,13,30 °C,23 °C,37 °C,1 mm,45 %,-,5 km/h,,>
Napoli,2025,Agosto,14,28 °C,23 °C,34 °C,n/d,51 %,-,6 km/h,,>
Napoli,2025,Agosto,15,27 °C,23 °C,34 °C,0 mm,51 %,-,5 km/h,,>
Napoli,2025,Agosto,16,26 °C,21 °C,34 °C,n/d,56 %,-,5 km/h,,>
Napoli,2025,Agosto,17,26 °C,20 °C,30 °C,-,71 %,-,6 km/h,Nessuno,>
Napoli,2025,Agosto,18,26 °C,22 °C,33 °C,0 mm,57 %,21 km/h,6 km/h,,>
Napoli,2025,Agosto,19,26 °C,21 °C,30 °C,-,62 %,4 km/h,6 km/h,Nessuno,>
Napoli,2025,Agosto,20,26 °C,22 °C,30 °C,-,67 %,-,8 km/h,Nessuno,>
Napoli,2025,Agosto,21,27 °C,24 °C,31 °C,11 mm,68 %,-,9 km/h,,>
Napoli,2025,Agosto,22,25 °C,21 °C,29 °C,4 mm,65 %,-,8 km/h,,>
Napoli,2025,Agosto,23,25 °C,21 °C,29 °C,3 mm,68 %,5 km/h,5 km/h,,>
Napoli,2025,Agosto,24,25 °C,21 °C,30 °C,0 mm,65 %,-,5 km/h,Nessuno,>
Napoli,2025,Agosto,25,25 °C,21 °C,30 °C,-,66 %,-,4 km/h,Nessuno,>
Napoli,2025,Agosto,26,26 °C,22 °C,29 °C,0 mm,69 %,-,7 km/h,Nessuno,>
Napoli,2025,Agosto,27,26 °C,21 °C,30 °C,-,69 %,-,5 km/h,Nessuno,>
Napoli,2025,Agosto,28,28 °C,23 °C,33 °C,-,56 %,-,7 km/h,Nessuno,>
Napoli,2025,Agosto,29,28 °C,26 °C,30 °C,8 mm,76 %,-,8 km/h,,>
Napoli,2025,Agosto,30,23 °C,20 °C,27 °C,14 mm,75 %,-,10 km/h,,>
Napoli,2025,Agosto,31,24 °C,18 °C,28 °C,-,60 %,-,5 km/h,Nessuno,>
