city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Napoli,2025,Dicembre,1,11 °C,4 °C,17 °C,2 mm,75 %,-,2 km/h,Nessuno,>
Napoli,2025,Dicembre,2,11 °C,8 °C,13 °C,17 mm,92 %,9 km/h,4 km/h,,>
Napoli,2025,Dicembre,3,9 °C,3 °C,15 °C,0 mm,82 %,-,5 km/h,,>
Napoli,2025,Dicembre,4,12 °C,8 °C,16 °C,4 mm,75 %,-,4 km/h,,>
Napoli,2025,Dicembre,5,12 °C,10 °C,16 °C,1 mm,78 %,-,5 km/h,,>
Napoli,2025,Dicembre,6,11 °C,5 °C,17 °C,-,76 %,-,3 km/h,Nessuno,>
Napoli,2025,Dicembre,7,10 °C,4 °C,16 °C,-,75 %,-,4 km/h,Nessuno,>
Napoli,2025,Dicembre,8,11 °C,6 °C,17 °C,-,70 %,-,3 km/h,Nessuno,>
Napoli,2025,Dicembre,9,11 °C,4 °C,18 °C,-,76 %,-,2 km/h,Nessuno,>
Napoli,2025,Dicembre,10,11 °C,6 °C,17 °C,0 mm,84 %,-,2 km/h,,>
Napoli,2025,Dicembre,11,10 °C,5 °C,17 °C,0 mm,89 %,5 km/h,1 km/h,Nessuno,>
Napoli,2025,Dicembre,12,11 °C,5 °C,15 °C,0 mm,84 %,-,3 km/h,Nessuno,>
Napoli,2025,Dicembre,13,10 °C,7 °C,15 °C,0 mm,79 %,-,3 km/h,Nessuno,>
Napoli,2025,Dicembre,14,10 °C,5 °C,15 °C,-,77 %,-,2 km/h,Nessuno,>
Napoli,2025,Dicembre,15,9 °C,4 °C,16 °C,-,80 %,-,3 km/h,Nessuno,>
Napoli,2025,Dicembre,16,12 °C,8 °C,16 °C,5 mm,76 %,13 km/h,8 km/h,,>
Napoli,2025,Dicembre,17,15 °C,11 °C,18 °C,1 mm,86 %,-,6 km/h,,>
Napoli,2025,Dicembre,18,12 °C,8 °C,17 °C,-,82 %,-,2 km/h,Nessuno,>
Napoli,2025,Dicembre,19,12 °C,5 °C,18 °C,-,71 %,-,6 km/h,Nessuno,>
Napoli,2025,Dicembre,20,12 °C,9 °C,17 °C,-,69 %,-,5 km/h,Nessuno,>
Napoli,2025,Dicembre,21,13 °C,8 °C,18 °C,0 mm,69 %,-,5 km/h,Nessuno,>
Napoli,2025,Dicembre,22,14 °C,12 °C,18 °C,1 mm,68 %,-,4 km/h,Nessuno,>
Napoli,2025,Dicembre,23,12 °C,10 °C,17 °C,25 mm,83 %,-,6 km/h,,>
Napoli,2025,Dicembre,24,11 °C,9 °C,14 °C,29 mm,80 %,26 km/h,10 km/h,,>
Napoli,2025,Dicembre,25,11 °C,8 °C,17 °C,0 mm,71 %,-,6 km/h,Nessuno,>
Napoli,2025,Dicembre,26,12 °C,8 °C,16 °C,-,69 %,-,6 km/h,Nessuno,>
Napoli,2025,Dicembre,27,11 °C,6 °C,15 °C,-,63 %,-,7 km/h,Nessuno,>
Napoli,2025,Dicembre,28,8 °C,3 °C,14 °C,-,69 %,-,4 km/h,Nessuno,>
Napoli,2025,Dicembre,29,9 °C,3 °C,15 °C,-,67 %,-,3 km/h,Nessuno,>
Napoli,2025,Dicembre,30,8 °C,3 °C,13 °C,0 mm,75 %,-,7 km/h,Nessuno,>
Napoli,2025,Dicembre,31,7 °C,3 °C,10 °C,-,42 %,-,8 km/h,Nessuno,>
