city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Napoli,2025,Novembre,1,19 °C,13 °C,24 °C,-,72 %,-,4 km/h,Nessuno,>
Napoli,2025,Novembre,2,18 °C,13 °C,22 °C,0 mm,84 %,-,5 km/h,,>
Napoli,2025,Novembre,3,18 °C,15 °C,21 °C,5 mm,79 %,-,6 km/h,,>
Napoli,2025,Novembre,4,16 °C,13 °C,20 °C,-,51 %,-,7 km/h,Nessuno,>
Napoli,2025,Novembre,5,15 °C,10 °C,21 °C,-,56 %,-,3 km/h,Nessuno,>
Napoli,2025,Novembre,6,14 °C,8 °C,20 °C,-,67 %,-,2 km/h,Nessuno,>
Napoli,2025,Novembre,7,14 °C,8 °C,19 °C,6 mm,73 %,-,3 km/h,,>
Napoli,2025,Novembre,8,15 °C,12 °C,20 °C,6 mm,82 %,-,5 km/h,,>
Napoli,2025,Novembre,9,16 °C,13 °C,19 °C,1 mm,78 %,-,6 km/h,,>
Napoli,2025,Novembre,10,15 °C,12 °C,20 °C,0 mm,73 %,-,3 km/h,Nessuno,>
Napoli,2025,Novembre,11,13 °C,8 °C,19 °C,-,78 %,-,2 km/h,Nessuno,>
Napoli,2025,Novembre,12,13 °C,7 °C,20 °C,-,72 %,-,2 km/h,Nessuno,>
Napoli,2025,Novembre,13,13 °C,7 °C,19 °C,0 mm,82 %,-,3 km/h,Nessuno,>
Napoli,2025,Novembre,14,14 °C,9 °C,20 °C,-,82 %,-,3 km/h,Nessuno,>
Napoli,2025,Novembre,15,14 °C,8 °C,21 °C,0 mm,71 %,-,2 km/h,Nessuno,>
Napoli,2025,Novembre,16,16 °C,10 °C,23 °C,-,69 %,-,7 km/h,Nessuno,>
Napoli,2025,Novembre,17,18 °C,14 °C,21 °C,2 mm,82 %,-,7 km/h,Nessuno,>
Napoli,2025,Novembre,18,16 °C,14 °C,18 °C,20 mm,92 %,-,7 km/h,,>
Napoli,2025,Novembre,19,15 °C,12 °C,19 °C,4 mm,82 %,-,6 km/h,,>
Napoli,2025,Novembre,20,14 °C,7 °C,19 °C,26 mm,88 %,17 km/h,7 km/h,,>
Napoli,2025,Novembre,21,11 °C,9 °C,13 °C,24 mm,89 %,-,4 km/h,,>
Napoli,2025,Novembre,22,8 °C,6 °C,9 °C,6 mm,89 %,-,5 km/h,,>
Napoli,2025,Novembre,23,8 °C,2 °C,13 °C,0 mm,72 %,-,4 km/h,Nessuno,>
Napoli,2025,Novembre,24,13 °C,7 °C,16 °C,23 mm,80 %,26 km/h,11 km/h,,>
Napoli,2025,Novembre,25,15 °C,11 °C,18 °C,48 mm,85 %,31 km/h,13 km/h,,>
Napoli,2025,Novembre,26,11 °C,9 °C,14 °C,10 mm,87 %,-,5 km/h,,>
Napoli,2025,Novembre,27,10 °C,7 °C,13 °C,1 mm,75 %,-,6 km/h,,>
Napoli,2025,Novembre,28,10 °C,7 °C,14 °C,0 mm,65 %,-,5 km/h,Nessuno,>
Napoli,2025,Novembre,29,10 °C,6 °C,14 °C,-,71 %,-,3 km/h,Nessuno,>
Napoli,2025,Novembre,30,9 °C,3 °C,15 °C,-,77 %,-,2 km/h,Nessuno,>
