city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Napoli,2025,Ottobre,1,19 °C,17 °C,23 °C,10 mm,70 %,-,7 km/h,,>
Napoli,2025,Ottobre,2,17 °C,13 °C,20 °C,-,46 %,35 km/h,11 km/h,Nessuno,>
Napoli,2025,Ottobre,3,15 °C,12 °C,19 °C,-,40 %,13 km/h,10 km/h,Nessuno,>
Napoli,2025,Ottobre,4,15 °C,9 °C,21 °C,-,45 %,-,7 km/h,Nessuno,>
Napoli,2025,Ottobre,5,18 °C,15 °C,22 °C,14 mm,72 %,-,7 km/h,,>
Napoli,2025,Ottobre,6,16 °C,10 °C,22 °C,-,49 %,-,6 km/h,Nessuno,>
Napoli,2025,Ottobre,7,18 °C,12 °C,23 °C,-,40 %,-,5 km/h,Nessuno,>
Napoli,2025,Ottobre,8,18 °C,9 °C,24 °C,-,49 %,-,6 km/h,Nessuno,>
Napoli,2025,Ottobre,9,18 °C,13 °C,23 °C,-,62 %,-,3 km/h,Nessuno,>
Napoli,2025,Ottobre,10,19 °C,13 °C,24 °C,-,61 %,-,4 km/h,Nessuno,>
Napoli,2025,Ottobre,11,20 °C,13 °C,26 °C,-,48 %,11 km/h,6 km/h,Nessuno,>
Napoli,2025,Ottobre,12,19 °C,14 °C,24 °C,-,56 %,-,4 km/h,Nessuno,>
Napoli,2025,Ottobre,13,18 °C,13 °C,24 °C,-,69 %,-,4 km/h,Nessuno,>
Napoli,2025,Ottobre,14,19 °C,13 °C,23 °C,0 mm,74 %,-,4 km/h,Nessuno,>
Napoli,2025,Ottobre,15,18 °C,16 °C,20 °C,2 mm,75 %,-,7 km/h,,>
Napoli,2025,Ottobre,16,16 °C,15 °C,18 °C,2 mm,78 %,-,8 km/h,,>
Napoli,2025,Ottobre,17,18 °C,15 °C,23 °C,1 mm,71 %,-,5 km/h,,>
Napoli,2025,Ottobre,18,18 °C,14 °C,22 °C,1 mm,71 %,-,5 km/h,Nessuno,>
Napoli,2025,Ottobre,19,18 °C,13 °C,23 °C,-,65 %,-,5 km/h,Nessuno,>
Napoli,2025,Ottobre,20,17 °C,11 °C,22 °C,0 mm,69 %,-,4 km/h,Nessuno,>
Napoli,2025,Ottobre,21,17 °C,14 °C,19 °C,4 mm,82 %,-,8 km/h,,>
Napoli,2025,Ottobre,22,19 °C,16 °C,22 °C,3 mm,84 %,-,4 km/h,Nessuno,>
Napoli,2025,Ottobre,23,19 °C,15 °C,22 °C,1 mm,88 %,30 km/h,10 km/h,,>
Napoli,2025,Ottobre,24,19 °C,17 °C,23 °C,0 mm,65 %,33 km/h,9 km/h,Nessuno,>
Napoli,2025,Ottobre,25,19 °C,16 °C,22 °C,1 mm,72 %,-,9 km/h,,>
Napoli,2025,Ottobre,26,20 °C,16 °C,23 °C,9 mm,76 %,24 km/h,11 km/h,,>
Napoli,2025,Ottobre,27,17 °C,14 °C,20 °C,1 mm,69 %,-,7 km/h,,>
Napoli,2025,Ottobre,28,17 °C,12 °C,22 °C,0 mm,80 %,-,4 km/h,Nessuno,>
Napoli,2025,Ottobre,29,17 °C,13 °C,21 °C,0 mm,79 %,4 km/h,5 km/h,,>
Napoli,2025,Ottobre,30,18 °C,12 °C,24 °C,1 mm,76 %,4 km/h,5 km/h,,>
Napoli,2025,Ottobre,31,19 °C,16 °C,24 °C,0 mm,75 %,-,5 km/h,,>
