city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Napoli,2025,Settembre,1,24 °C,18 °C,28 °C,-,59 %,-,4 km/h,Nessuno,>
Napoli,2025,Settembre,2,24 °C,20 °C,29 °C,7 mm,71 %,11 km/h,12 km/h,,>
Napoli,2025,Settembre,3,24 °C,20 °C,28 °C,0 mm,65 %,-,6 km/h,Nessuno,>
Napoli,2025,Settembre,4,24 °C,19 °C,29 °C,-,64 %,-,4 km/h,Nessuno,>
Napoli,2025,Settembre,5,25 °C,20 °C,30 °C,-,67 %,5 km/h,4 km/h,Nessuno,>
Napoli,2025,Settembre,6,24 °C,19 °C,29 °C,-,69 %,-,5 km/h,Nessuno,>
Napoli,2025,Settembre,7,24 °C,19 °C,29 °C,-,63 %,-,4 km/h,Nessuno,>
Napoli,2025,Settembre,8,24 °C,19 °C,28 °C,0 mm,68 %,-,4 km/h,Nessuno,>
Napoli,2025,Settembre,9,26 °C,23 °C,29 °C,1 mm,66 %,-,4 km/h,Nessuno,>
Napoli,2025,Settembre,10,25 °C,22 °C,28 °C,32 mm,73 %,-,14 km/h,,>
Napoli,2025,Settembre,11,24 °C,20 °C,28 °C,1 mm,73 %,-,7 km/h,,>
Napoli,2025,Settembre,12,23 °C,19 °C,26 °C,-,71 %,-,5 km/h,Nessuno,>
Napoli,2025,Settembre,13,23 °C,18 °C,27 °C,-,72 %,-,3 km/h,Nessuno,>
Napoli,2025,Settembre,14,24 °C,20 °C,27 °C,0 mm,77 %,-,4 km/h,Nessuno,>
Napoli,2025,Settembre,15,24 °C,19 °C,28 °C,-,74 %,-,4 km/h,Nessuno,>
Napoli,2025,Settembre,16,24 °C,21 °C,28 °C,0 mm,74 %,-,5 km/h,Nessuno,>
Napoli,2025,Settembre,17,25 °C,22 °C,29 °C,0 mm,71 %,-,9 km/h,Nessuno,>
Napoli,2025,Settembre,18,25 °C,21 °C,30 °C,-,42 %,26 km/h,9 km/h,Nessuno,>
Napoli,2025,Settembre,19,26 °C,17 °C,33 °C,-,35 %,-,4 km/h,Nessuno,>
Napoli,2025,Settembre,20,25 °C,20 °C,31 °C,-,54 %,-,4 km/h,Nessuno,>
Napoli,2025,Settembre,21,24 °C,19 °C,28 °C,-,73 %,-,4 km/h,Nessuno,>
Napoli,2025,Settembre,22,24 °C,19 °C,28 °C,1 mm,75 %,-,5 km/h,Nessuno,>
Napoli,2025,Settembre,23,23 °C,20 °C,26 °C,6 mm,76 %,-,6 km/h,,>
Napoli,2025,Settembre,24,21 °C,18 °C,24 °C,13 mm,85 %,-,5 km/h,,>
Napoli,2025,Settembre,25,20 °C,16 °C,25 °C,0 mm,63 %,-,5 km/h,Nessuno,>
Napoli,2025,Settembre,26,20 °C,14 °C,25 °C,-,64 %,-,3 km/h,Nessuno,>
Napoli,2025,Settembre,27,22 °C,17 °C,27 °C,-,58 %,-,5 km/h,Nessuno,>
Napoli,2025,Settembre,28,21 °C,16 °C,26 °C,-,58 %,-,4 km/h,Nessuno,>
Napoli,2025,Settembre,29,21 °C,17 °C,26 °C,-,54 %,-,4 km/h,Nessuno,>
Napoli,2025,Settembre,30,21 °C,16 °C,25 °C,2 mm,58 %,-,5 km/h,Nessuno,>
