city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Palermo,2025,Agosto,1,26 °C,23 °C,29 °C,-,65 %,-,6 km/h,Nessuno,>
Palermo,2025,Agosto,2,25 °C,21 °C,28 °C,-,62 %,-,5 km/h,Nessuno,>
Palermo,2025,Agosto,3,26 °C,21 °C,28 °C,-,69 %,-,7 km/h,Nessuno,>
Palermo,2025,Agosto,4,25 °C,22 °C,28 °C,-,66 %,-,8 km/h,Nessuno,>
Palermo,2025,Agosto,5,26 °C,25 °C,28 °C,-,66 %,-,8 km/h,Nessuno,>
Palermo,2025,Agosto,6,26 °C,23 °C,28 °C,-,69 %,-,6 km/h,Nessuno,>
Palermo,2025,Agosto,7,26 °C,22 °C,28 °C,-,69 %,-,7 km/h,Nessuno,>
Palermo,2025,Agosto,8,26 °C,23 °C,29 °C,-,72 %,-,8 km/h,Nessuno,>
Palermo,2025,Agosto,9,26 °C,22 °C,31 °C,-,69 %,-,6 km/h,Nessuno,>
Palermo,2025,Agosto,10,26 °C,23 °C,29 °C,-,80 %,-,7 km/h,Nessuno,>
Palermo,2025,Agosto,11,26 °C,23 °C,29 °C,-,85 %,-,7 km/h,Nessuno,>
Palermo,2025,Agosto,12,27 °C,24 °C,29 °C,-,85 %,-,5 km/h,Nessuno,>
Palermo,2025,Agosto,13,27 °C,24 °C,33 °C,0 mm,79 %,-,7 km/h,Nessuno,>
Palermo,2025,Agosto,14,27 °C,24 °C,30 °C,0 mm,84 %,-,7 km/h,Nessuno,>
Palermo,2025,Agosto,15,27 °C,23 °C,29 °C,3 mm,80 %,-,6 km/h,Nessuno,>
Palermo,2025,Agosto,16,27 °C,25 °C,29 °C,1 mm,73 %,28 km/h,7 km/h,,>
Palermo,2025,Agosto,17,27 °C,24 °C,29 °C,-,71 %,-,5 km/h,Nessuno,>
Palermo,2025,Agosto,18,27 °C,24 °C,29 °C,4 mm,68 %,-,5 km/h,Nessuno,>
Palermo,2025,Agosto,19,26 °C,23 °C,30 °C,0 mm,72 %,-,10 km/h,Nessuno,>
Palermo,2025,Agosto,20,29 °C,23 °C,33 °C,-,55 %,35 km/h,12 km/h,Nessuno,>
Palermo,2025,Agosto,21,28 °C,26 °C,31 °C,-,62 %,41 km/h,11 km/h,Nessuno,>
Palermo,2025,Agosto,22,26 °C,25 °C,28 °C,-,71 %,-,7 km/h,Nessuno,>
Palermo,2025,Agosto,23,26 °C,24 °C,27 °C,0 mm,68 %,-,8 km/h,Nessuno,>
Palermo,2025,Agosto,24,25 °C,21 °C,28 °C,0 mm,66 %,-,5 km/h,Nessuno,>
Palermo,2025,Agosto,25,26 °C,22 °C,28 °C,0 mm,69 %,-,6 km/h,Nessuno,>
Palermo,2025,Agosto,26,26 °C,23 °C,29 °C,-,56 %,-,4 km/h,Nessuno,>
Palermo,2025,Agosto,27,28 °C,24 °C,33 °C,-,59 %,-,11 km/h,Nessuno,>
Palermo,2025,Agosto,28,28 °C,25 °C,31 °C,1 mm,60 %,-,13 km/h,Nessuno,>
Palermo,2025,Agosto,29,29 °C,27 °C,32 °C,0 mm,61 %,-,10 km/h,Nessuno,>
Palermo,2025,Agosto,30,27 °C,26 °C,29 °C,0 mm,71 %,-,8 km/h,Nessuno,>
Palermo,2025,Agosto,31,26 °C,23 °C,28 °C,-,66 %,-,5 km/h,Nessuno,>
