city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Palermo,2025,Dicembre,1,14 °C,10 °C,17 °C,0 mm,70 %,-,4 km/h,Nessuno,>
Palermo,2025,Dicembre,2,15 °C,12 °C,28 °C,0 mm,64 %,-,5 km/h,Nessuno,>
Palermo,2025,Dicembre,3,14 °C,10 °C,17 °C,0 mm,77 %,-,3 km/h,Nessuno,>
Palermo,2025,Dicembre,4,14 °C,11 °C,16 °C,5 mm,74 %,26 km/h,7 km/h,,>
Palermo,2025,Dicembre,5,14 °C,12 °C,16 °C,19 mm,76 %,-,5 km/h,,>
Palermo,2025,Dicembre,6,16 °C,13 °C,17 °C,5 mm,70 %,-,6 km/h,,>
Palermo,2025,Dicembre,7,16 °C,13 °C,18 °C,1 mm,79 %,-,6 km/h,Nessuno,>
Palermo,2025,Dicembre,8,16 °C,12 °C,18 °C,2 mm,80 %,-,4 km/h,Nessuno,>
Palermo,2025,Dicembre,9,13 °C,10 °C,17 °C,-,82 %,-,2 km/h,Nessuno,>
Palermo,2025,Dicembre,10,13 °C,10 °C,17 °C,0 mm,87 %,-,1 km/h,Nessuno,>
Palermo,2025,Dicembre,11,12 °C,9 °C,16 °C,0 mm,86 %,-,2 km/h,Nessuno,>
Palermo,2025,Dicembre,12,12 °C,9 °C,17 °C,-,82 %,-,2 km/h,Nessuno,>
Palermo,2025,Dicembre,13,13 °C,9 °C,17 °C,0 mm,79 %,-,2 km/h,Nessuno,>
Palermo,2025,Dicembre,14,14 °C,10 °C,17 °C,0 mm,77 %,-,2 km/h,Nessuno,>
Palermo,2025,Dicembre,15,14 °C,10 °C,17 °C,0 mm,77 %,-,6 km/h,Nessuno,>
Palermo,2025,Dicembre,16,16 °C,14 °C,18 °C,19 mm,74 %,33 km/h,7 km/h,,>
Palermo,2025,Dicembre,17,16 °C,12 °C,19 °C,0 mm,74 %,22 km/h,6 km/h,Nessuno,>
Palermo,2025,Dicembre,18,15 °C,12 °C,19 °C,1 mm,78 %,-,2 km/h,Nessuno,>
Palermo,2025,Dicembre,19,15 °C,11 °C,17 °C,1 mm,85 %,-,2 km/h,,>
Palermo,2025,Dicembre,20,15 °C,13 °C,18 °C,2 mm,80 %,-,2 km/h,,>
Palermo,2025,Dicembre,21,15 °C,13 °C,16 °C,5 mm,82 %,-,4 km/h,,>
Palermo,2025,Dicembre,22,15 °C,12 °C,18 °C,1 mm,76 %,-,7 km/h,Nessuno,>
Palermo,2025,Dicembre,23,14 °C,10 °C,16 °C,7 mm,71 %,37 km/h,8 km/h,,>
Palermo,2025,Dicembre,24,14 °C,11 °C,16 °C,1 mm,61 %,28 km/h,7 km/h,,>
Palermo,2025,Dicembre,25,16 °C,14 °C,18 °C,0 mm,58 %,-,6 km/h,Nessuno,>
Palermo,2025,Dicembre,26,16 °C,13 °C,17 °C,1 mm,64 %,-,6 km/h,,>
Palermo,2025,Dicembre,27,14 °C,11 °C,17 °C,1 mm,74 %,-,3 km/h,Nessuno,>
Palermo,2025,Dicembre,28,12 °C,9 °C,15 °C,0 mm,79 %,-,3 km/h,Nessuno,>
Palermo,2025,Dicembre,29,12 °C,9 °C,15 °C,0 mm,72 %,-,2 km/h,Nessuno,>
Palermo,2025,Dicembre,30,13 °C,10 °C,16 °C,6 mm,77 %,-,4 km/h,,>
Palermo,2025,Dicembre,31,13 °C,11 °C,15 °C,5 mm,78 %,-,3 km/h,,>
