city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Palermo,2025,Novembre,1,20 °C,17 °C,22 °C,0 mm,87 %,-,4 km/h,Nessuno,>
Palermo,2025,Novembre,2,19 °C,16 °C,22 °C,-,85 %,-,7 km/h,Nessuno,>
Palermo,2025,Novembre,3,20 °C,17 °C,22 °C,1 mm,73 %,-,7 km/h,,>
Palermo,2025,Novembre,4,19 °C,16 °C,21 °C,0 mm,71 %,-,6 km/h,Nessuno,>
Palermo,2025,Novembre,5,18 °C,14 °C,20 °C,-,61 %,-,6 km/h,Nessuno,>
Palermo,2025,Novembre,6,16 °C,12 °C,20 °C,-,70 %,-,7 km/h,Nessuno,>
Palermo,2025,Novembre,7,17 °C,16 °C,19 °C,8 mm,83 %,-,7 km/h,,>
Palermo,2025,Novembre,8,19 °C,17 °C,21 °C,2 mm,69 %,-,7 km/h,,>
Palermo,2025,Novembre,9,17 °C,15 °C,19 °C,17 mm,78 %,-,5 km/h,,>
Palermo,2025,Novembre,10,19 °C,16 °C,20 °C,4 mm,74 %,-,6 km/h,,>
Palermo,2025,Novembre,11,17 °C,14 °C,20 °C,0 mm,75 %,-,4 km/h,Nessuno,>
Palermo,2025,Novembre,12,16 °C,13 °C,20 °C,-,79 %,-,4 km/h,Nessuno,>
Palermo,2025,Novembre,13,17 °C,13 °C,20 °C,-,76 %,-,5 km/h,Nessuno,>
Palermo,2025,Novembre,14,19 °C,13 °C,23 °C,-,60 %,-,10 km/h,Nessuno,>
Palermo,2025,Novembre,15,21 °C,15 °C,25 °C,-,60 %,-,11 km/h,Nessuno,>
Palermo,2025,Novembre,16,21 °C,14 °C,27 °C,-,52 %,28 km/h,12 km/h,Nessuno,>
Palermo,2025,Novembre,17,21 °C,17 °C,23 °C,0 mm,67 %,26 km/h,8 km/h,Nessuno,>
Palermo,2025,Novembre,18,19 °C,17 °C,21 °C,4 mm,73 %,22 km/h,8 km/h,,>
Palermo,2025,Novembre,19,17 °C,16 °C,19 °C,0 mm,67 %,-,5 km/h,Nessuno,>
Palermo,2025,Novembre,20,17 °C,13 °C,20 °C,0 mm,67 %,31 km/h,6 km/h,,>
Palermo,2025,Novembre,21,14 °C,12 °C,17 °C,17 mm,76 %,57 km/h,7 km/h,,>
Palermo,2025,Novembre,22,12 °C,8 °C,15 °C,15 mm,68 %,39 km/h,8 km/h,,>
Palermo,2025,Novembre,23,15 °C,13 °C,16 °C,9 mm,61 %,31 km/h,6 km/h,,>
Palermo,2025,Novembre,24,16 °C,13 °C,17 °C,0 mm,63 %,52 km/h,9 km/h,,>
Palermo,2025,Novembre,25,17 °C,15 °C,20 °C,4 mm,61 %,42 km/h,8 km/h,,>
Palermo,2025,Novembre,26,14 °C,11 °C,17 °C,10 mm,70 %,-,4 km/h,,>
Palermo,2025,Novembre,27,12 °C,9 °C,14 °C,10 mm,71 %,-,5 km/h,,>
Palermo,2025,Novembre,28,12 °C,8 °C,15 °C,5 mm,69 %,-,4 km/h,,>
Palermo,2025,Novembre,29,14 °C,10 °C,16 °C,2 mm,75 %,-,5 km/h,,>
Palermo,2025,Novembre,30,13 °C,11 °C,17 °C,0 mm,74 %,-,3 km/h,,>
