city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Palermo,2025,Ottobre,1,22 °C,17 °C,24 °C,13 mm,72 %,37 km/h,8 km/h,,>
Palermo,2025,Ottobre,2,21 °C,17 °C,23 °C,3 mm,64 %,28 km/h,8 km/h,,>
Palermo,2025,Ottobre,3,19 °C,15 °C,21 °C,1 mm,63 %,28 km/h,12 km/h,,>
Palermo,2025,Ottobre,4,21 °C,19 °C,22 °C,0 mm,57 %,-,8 km/h,Nessuno,>
Palermo,2025,Ottobre,5,23 °C,19 °C,27 °C,1 mm,64 %,-,10 km/h,Nessuno,>
Palermo,2025,Ottobre,6,22 °C,21 °C,23 °C,0 mm,59 %,-,9 km/h,,>
Palermo,2025,Ottobre,7,21 °C,20 °C,22 °C,0 mm,47 %,-,9 km/h,Nessuno,>
Palermo,2025,Ottobre,8,22 °C,19 °C,24 °C,0 mm,59 %,-,7 km/h,Nessuno,>
Palermo,2025,Ottobre,9,20 °C,17 °C,23 °C,0 mm,74 %,-,4 km/h,Nessuno,>
Palermo,2025,Ottobre,10,21 °C,18 °C,25 °C,0 mm,68 %,-,3 km/h,Nessuno,>
Palermo,2025,Ottobre,11,21 °C,17 °C,24 °C,-,75 %,-,4 km/h,Nessuno,>
Palermo,2025,Ottobre,12,20 °C,15 °C,23 °C,-,68 %,-,4 km/h,Nessuno,>
Palermo,2025,Ottobre,13,20 °C,16 °C,24 °C,-,69 %,-,3 km/h,Nessuno,>
Palermo,2025,Ottobre,14,20 °C,17 °C,24 °C,4 mm,75 %,-,6 km/h,,>
Palermo,2025,Ottobre,15,20 °C,17 °C,23 °C,5 mm,75 %,-,10 km/h,,>
Palermo,2025,Ottobre,16,21 °C,17 °C,24 °C,8 mm,76 %,-,6 km/h,,>
Palermo,2025,Ottobre,17,21 °C,17 °C,22 °C,3 mm,70 %,-,7 km/h,,>
Palermo,2025,Ottobre,18,20 °C,15 °C,23 °C,0 mm,62 %,-,5 km/h,Nessuno,>
Palermo,2025,Ottobre,19,20 °C,18 °C,22 °C,2 mm,66 %,-,6 km/h,Nessuno,>
Palermo,2025,Ottobre,20,19 °C,15 °C,22 °C,0 mm,73 %,-,10 km/h,Nessuno,>
Palermo,2025,Ottobre,21,23 °C,20 °C,26 °C,0 mm,65 %,35 km/h,10 km/h,Nessuno,>
Palermo,2025,Ottobre,22,22 °C,20 °C,24 °C,5 mm,79 %,-,7 km/h,,>
Palermo,2025,Ottobre,23,23 °C,21 °C,25 °C,0 mm,75 %,-,10 km/h,Nessuno,>
Palermo,2025,Ottobre,24,22 °C,19 °C,23 °C,0 mm,63 %,-,9 km/h,Nessuno,>
Palermo,2025,Ottobre,25,22 °C,18 °C,25 °C,-,66 %,-,9 km/h,Nessuno,>
Palermo,2025,Ottobre,26,24 °C,21 °C,29 °C,0 mm,67 %,-,10 km/h,Nessuno,>
Palermo,2025,Ottobre,27,20 °C,18 °C,22 °C,0 mm,64 %,18 km/h,10 km/h,Nessuno,>
Palermo,2025,Ottobre,28,21 °C,17 °C,22 °C,2 mm,68 %,-,9 km/h,Nessuno,>
Palermo,2025,Ottobre,29,19 °C,15 °C,22 °C,-,71 %,-,9 km/h,Nessuno,>
Palermo,2025,Ottobre,30,22 °C,20 °C,26 °C,13 mm,63 %,-,9 km/h,,>
Palermo,2025,Ottobre,31,20 °C,18 °C,23 °C,7 mm,85 %,-,3 km/h,,>
