city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Palermo,2025,Settembre,1,27 °C,22 °C,31 °C,-,63 %,-,10 km/h,Nessuno,>
Palermo,2025,Settembre,2,28 °C,23 °C,30 °C,0 mm,60 %,-,9 km/h,,>
Palermo,2025,Settembre,3,26 °C,23 °C,28 °C,0 mm,64 %,-,7 km/h,Nessuno,>
Palermo,2025,Settembre,4,25 °C,23 °C,27 °C,0 mm,59 %,-,5 km/h,Nessuno,>
Palermo,2025,Settembre,5,25 °C,21 °C,27 °C,-,63 %,-,7 km/h,Nessuno,>
Palermo,2025,Settembre,6,26 °C,22 °C,30 °C,0 mm,67 %,-,5 km/h,Nessuno,>
Palermo,2025,Settembre,7,25 °C,21 °C,30 °C,-,68 %,-,4 km/h,Nessuno,>
Palermo,2025,Settembre,8,26 °C,22 °C,29 °C,-,60 %,-,6 km/h,Nessuno,>
Palermo,2025,Settembre,9,29 °C,24 °C,34 °C,0 mm,54 %,-,11 km/h,Nessuno,>
Palermo,2025,Settembre,10,29 °C,24 °C,34 °C,2 mm,58 %,30 km/h,13 km/h,,>
Palermo,2025,Settembre,11,26 °C,23 °C,28 °C,0 mm,71 %,-,7 km/h,,>
Palermo,2025,Settembre,12,26 °C,24 °C,28 °C,-,63 %,-,6 km/h,Nessuno,>
Palermo,2025,Settembre,13,25 °C,24 °C,27 °C,0 mm,69 %,-,6 km/h,Nessuno,>
Palermo,2025,Settembre,14,25 °C,21 °C,28 °C,0 mm,64 %,-,4 km/h,Nessuno,>
Palermo,2025,Settembre,15,25 °C,21 °C,29 °C,0 mm,67 %,-,6 km/h,Nessuno,>
Palermo,2025,Settembre,16,25 °C,21 °C,30 °C,0 mm,61 %,-,5 km/h,Nessuno,>
Palermo,2025,Settembre,17,25 °C,21 °C,28 °C,0 mm,70 %,-,6 km/h,Nessuno,>
Palermo,2025,Settembre,18,26 °C,23 °C,28 °C,0 mm,68 %,-,8 km/h,Nessuno,>
Palermo,2025,Settembre,19,25 °C,21 °C,28 °C,-,67 %,-,6 km/h,Nessuno,>
Palermo,2025,Settembre,20,25 °C,21 °C,27 °C,0 mm,69 %,-,5 km/h,Nessuno,>
Palermo,2025,Settembre,21,25 °C,21 °C,28 °C,0 mm,70 %,-,5 km/h,Nessuno,>
Palermo,2025,Settembre,22,25 °C,21 °C,30 °C,3 mm,58 %,-,8 km/h,Nessuno,>
Palermo,2025,Settembre,23,27 °C,24 °C,30 °C,3 mm,55 %,-,9 km/h,Nessuno,>
Palermo,2025,Settembre,24,25 °C,19 °C,28 °C,7 mm,70 %,-,10 km/h,,>
Palermo,2025,Settembre,25,24 °C,22 °C,26 °C,0 mm,59 %,-,4 km/h,Nessuno,>
Palermo,2025,Settembre,26,24 °C,22 °C,26 °C,4 mm,68 %,-,3 km/h,,>
Palermo,2025,Settembre,27,22 °C,19 °C,25 °C,2 mm,77 %,-,4 km/h,,>
Palermo,2025,Settembre,28,24 °C,22 °C,25 °C,1 mm,63 %,-,7 km/h,,>
Palermo,2025,Settembre,29,23 °C,21 °C,25 °C,0 mm,58 %,-,4 km/h,Nessuno,>
Palermo,2025,Settembre,30,22 °C,18 °C,24 °C,3 mm,69 %,-,7 km/h,Nessuno,>
