city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Roma,2025,Dicembre,1,10 °C,5 °C,15 °C,4 mm,76 %,-,5 km/h,,>
Roma,2025,Dicembre,2,10 °C,7 °C,14 °C,15 mm,89 %,-,4 km/h,,>
Roma,2025,Dicembre,3,9 °C,4 °C,15 °C,0 mm,83 %,-,3 km/h,Nessuno,>
Roma,2025,Dicembre,4,9 °C,6 °C,13 °C,0 mm,86 %,-,3 km/h,Nessuno,>
Roma,2025,Dicembre,5,11 °C,8 °C,16 °C,1 mm,81 %,-,4 km/h,Nessuno,>
Roma,2025,Dicembre,6,10 °C,6 °C,16 °C,0 mm,75 %,-,5 km/h,Nessuno,>
Roma,2025,Dicembre,7,10 °C,6 °C,16 °C,0 mm,76 %,-,4 km/h,Nessuno,>
Roma,2025,Dicembre,8,9 °C,5 °C,16 °C,-,80 %,-,2 km/h,Nessuno,>
Roma,2025,Dicembre,9,10 °C,5 °C,16 °C,0 mm,84 %,-,2 km/h,Nessuno,>
Roma,2025,Dicembre,10,9 °C,4 °C,15 °C,-,80 %,-,2 km/h,Nessuno,>
Roma,2025,Dicembre,11,9 °C,4 °C,15 °C,-,82 %,-,3 km/h,Nessuno,>
Roma,2025,Dicembre,12,6 °C,2 °C,13 °C,-,91 %,-,3 km/h,,>
Roma,2025,Dicembre,13,7 °C,2 °C,13 °C,0 mm,92 %,-,2 km/h,,>
Roma,2025,Dicembre,14,10 °C,6 °C,15 °C,0 mm,84 %,-,3 km/h,Nessuno,>
Roma,2025,Dicembre,15,9 °C,5 °C,14 °C,0 mm,86 %,-,5 km/h,Nessuno,>
Roma,2025,Dicembre,16,14 °C,11 °C,16 °C,10 mm,75 %,18 km/h,6 km/h,,>
Roma,2025,Dicembre,17,15 °C,10 °C,18 °C,1 mm,88 %,-,6 km/h,,>
Roma,2025,Dicembre,18,13 °C,9 °C,18 °C,1 mm,84 %,-,4 km/h,Nessuno,>
Roma,2025,Dicembre,19,12 °C,10 °C,15 °C,2 mm,87 %,-,4 km/h,,>
Roma,2025,Dicembre,20,11 °C,7 °C,16 °C,-,80 %,-,2 km/h,,>
Roma,2025,Dicembre,21,10 °C,6 °C,15 °C,-,79 %,-,3 km/h,Nessuno,>
Roma,2025,Dicembre,22,14 °C,9 °C,18 °C,0 mm,62 %,-,6 km/h,,>
Roma,2025,Dicembre,23,13 °C,10 °C,15 °C,18 mm,86 %,-,6 km/h,,>
Roma,2025,Dicembre,24,10 °C,9 °C,11 °C,19 mm,85 %,-,8 km/h,,>
Roma,2025,Dicembre,25,10 °C,7 °C,13 °C,7 mm,86 %,-,7 km/h,,>
Roma,2025,Dicembre,26,10 °C,6 °C,17 °C,-,71 %,-,4 km/h,Nessuno,>
Roma,2025,Dicembre,27,8 °C,4 °C,13 °C,-,76 %,-,4 km/h,Nessuno,>
Roma,2025,Dicembre,28,6 °C,1 °C,13 °C,-,77 %,-,3 km/h,Nessuno,>
Roma,2025,Dicembre,29,7 °C,1 °C,13 °C,-,79 %,-,2 km/h,Nessuno,>
Roma,2025,Dicembre,30,8 °C,4 °C,13 °C,-,75 %,-,5 km/h,Nessuno,>
Roma,2025,Dicembre,31,7 °C,3 °C,10 °C,0 mm,53 %,-,4 km/h,Nessuno,>
