city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Roma,2025,Novembre,1,18 °C,13 °C,24 °C,0 mm,84 %,-,3 km/h,Nessuno,>
Roma,2025,Novembre,2,18 °C,13 °C,22 °C,1 mm,86 %,-,8 km/h,,>
Roma,2025,Novembre,3,18 °C,14 °C,22 °C,2 mm,73 %,-,7 km/h,,>
Roma,2025,Novembre,4,15 °C,10 °C,21 °C,-,61 %,-,4 km/h,Nessuno,>
Roma,2025,Novembre,5,14 °C,7 °C,21 °C,-,65 %,-,2 km/h,Nessuno,>
Roma,2025,Novembre,6,13 °C,8 °C,20 °C,-,77 %,-,5 km/h,Nessuno,>
Roma,2025,Novembre,7,14 °C,9 °C,18 °C,2 mm,79 %,-,4 km/h,,>
Roma,2025,Novembre,8,15 °C,10 °C,19 °C,0 mm,79 %,-,4 km/h,Nessuno,>
Roma,2025,Novembre,9,15 °C,10 °C,20 °C,0 mm,68 %,-,4 km/h,Nessuno,>
Roma,2025,Novembre,10,13 °C,9 °C,18 °C,-,73 %,-,5 km/h,Nessuno,>
Roma,2025,Novembre,11,12 °C,6 °C,19 °C,-,76 %,-,5 km/h,Nessuno,>
Roma,2025,Novembre,12,13 °C,7 °C,20 °C,-,71 %,-,3 km/h,Nessuno,>
Roma,2025,Novembre,13,13 °C,7 °C,21 °C,0 mm,76 %,-,3 km/h,Nessuno,>
Roma,2025,Novembre,14,14 °C,9 °C,19 °C,0 mm,79 %,-,8 km/h,Nessuno,>
Roma,2025,Novembre,15,16 °C,12 °C,21 °C,0 mm,74 %,-,8 km/h,Nessuno,>
Roma,2025,Novembre,16,18 °C,12 °C,21 °C,-,61 %,-,9 km/h,Nessuno,>
Roma,2025,Novembre,17,18 °C,13 °C,20 °C,4 mm,73 %,9 km/h,9 km/h,,>
Roma,2025,Novembre,18,15 °C,10 °C,17 °C,15 mm,89 %,-,4 km/h,,>
Roma,2025,Novembre,19,11 °C,7 °C,16 °C,1 mm,87 %,-,4 km/h,Nessuno,>
Roma,2025,Novembre,20,13 °C,11 °C,16 °C,3 mm,83 %,-,7 km/h,,>
Roma,2025,Novembre,21,12 °C,8 °C,14 °C,8 mm,63 %,-,5 km/h,,>
Roma,2025,Novembre,22,7 °C,4 °C,11 °C,4 mm,83 %,-,4 km/h,,>
Roma,2025,Novembre,23,6 °C,3 °C,10 °C,0 mm,68 %,-,5 km/h,Nessuno,>
Roma,2025,Novembre,24,12 °C,5 °C,16 °C,19 mm,84 %,-,8 km/h,,>
Roma,2025,Novembre,25,13 °C,9 °C,16 °C,19 mm,88 %,21 km/h,6 km/h,,>
Roma,2025,Novembre,26,10 °C,7 °C,14 °C,3 mm,73 %,-,5 km/h,,>
Roma,2025,Novembre,27,9 °C,6 °C,14 °C,0 mm,72 %,-,6 km/h,Nessuno,>
Roma,2025,Novembre,28,9 °C,5 °C,14 °C,1 mm,68 %,-,4 km/h,Nessuno,>
Roma,2025,Novembre,29,7 °C,3 °C,12 °C,-,74 %,-,3 km/h,Nessuno,>
Roma,2025,Novembre,30,7 °C,2 °C,14 °C,-,68 %,-,2 km/h,Nessuno,>
