city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Roma,2025,Settembre,1,24 °C,19 °C,30 °C,-,56 %,-,9 km/h,Nessuno,>
Roma,2025,Settembre,2,24 °C,22 °C,27 °C,5 mm,69 %,26 km/h,9 km/h,,>
Roma,2025,Settembre,3,23 °C,18 °C,29 °C,-,64 %,-,6 km/h,Nessuno,>
Roma,2025,Settembre,4,23 °C,17 °C,30 °C,-,62 %,-,4 km/h,Nessuno,>
Roma,2025,Settembre,5,24 °C,18 °C,31 °C,-,58 %,-,4 km/h,Nessuno,>
Roma,2025,Settembre,6,24 °C,18 °C,29 °C,-,69 %,-,3 km/h,Nessuno,>
Roma,2025,Settembre,7,24 °C,19 °C,30 °C,-,69 %,-,5 km/h,Nessuno,>
Roma,2025,Settembre,8,24 °C,18 °C,29 °C,-,61 %,-,4 km/h,Nessuno,>
Roma,2025,Settembre,9,25 °C,21 °C,30 °C,4 mm,59 %,-,9 km/h,Nessuno,>
Roma,2025,Settembre,10,22 °C,20 °C,25 °C,14 mm,88 %,26 km/h,13 km/h,,>
Roma,2025,Settembre,11,23 °C,20 °C,27 °C,0 mm,74 %,-,7 km/h,Nessuno,>
Roma,2025,Settembre,12,23 °C,20 °C,28 °C,-,71 %,-,3 km/h,Nessuno,>
Roma,2025,Settembre,13,23 °C,18 °C,29 °C,-,72 %,-,3 km/h,Nessuno,>
Roma,2025,Settembre,14,24 °C,20 °C,28 °C,-,72 %,-,4 km/h,Nessuno,>
Roma,2025,Settembre,15,23 °C,18 °C,28 °C,0 mm,74 %,-,5 km/h,Nessuno,>
Roma,2025,Settembre,16,24 °C,19 °C,29 °C,0 mm,78 %,-,5 km/h,Nessuno,>
Roma,2025,Settembre,17,25 °C,22 °C,30 °C,0 mm,71 %,-,5 km/h,Nessuno,>
Roma,2025,Settembre,18,24 °C,19 °C,30 °C,-,67 %,-,5 km/h,Nessuno,>
Roma,2025,Settembre,19,24 °C,19 °C,30 °C,-,68 %,-,4 km/h,Nessuno,>
Roma,2025,Settembre,20,25 °C,19 °C,31 °C,-,57 %,-,4 km/h,Nessuno,>
Roma,2025,Settembre,21,24 °C,18 °C,30 °C,-,59 %,-,6 km/h,Nessuno,>
Roma,2025,Settembre,22,23 °C,18 °C,28 °C,0 mm,72 %,-,8 km/h,,>
Roma,2025,Settembre,23,22 °C,19 °C,26 °C,5 mm,82 %,-,6 km/h,,>
Roma,2025,Settembre,24,21 °C,17 °C,25 °C,11 mm,80 %,-,5 km/h,,>
Roma,2025,Settembre,25,19 °C,16 °C,22 °C,0 mm,62 %,-,5 km/h,Nessuno,>
Roma,2025,Settembre,26,19 °C,15 °C,24 °C,2 mm,68 %,-,4 km/h,Nessuno,>
Roma,2025,Settembre,27,19 °C,14 °C,27 °C,0 mm,64 %,-,5 km/h,Nessuno,>
Roma,2025,Settembre,28,19 °C,15 °C,24 °C,-,63 %,-,5 km/h,Nessuno,>
Roma,2025,Settembre,29,19 °C,14 °C,24 °C,0 mm,69 %,-,3 km/h,Nessuno,>
Roma,2025,Settembre,30,19 °C,14 °C,24 °C,0 mm,71 %,-,4 km/h,Nessuno,>
