city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Torino,2025,Agosto,1,23 °C,19 °C,27 °C,1 mm,61 %,-,4 km/h,Nessuno,>
Torino,2025,Agosto,2,22 °C,18 °C,26 °C,0 mm,70 %,-,4 km/h,,>
Torino,2025,Agosto,3,23 °C,17 °C,28 °C,n/d,51 %,-,6 km/h,,>
Torino,2025,Agosto,4,23 °C,16 °C,29 °C,-,52 %,-,4 km/h,Nessuno,>
Torino,2025,Agosto,5,24 °C,18 °C,30 °C,-,59 %,-,3 km/h,Nessuno,>
Torino,2025,Agosto,6,24 °C,19 °C,28 °C,0 mm,63 %,-,5 km/h,Nessuno,>
Torino,2025,Agosto,7,25 °C,22 °C,29 °C,1 mm,61 %,-,3 km/h,Nessuno,>
Torino,2025,Agosto,8,26 °C,19 °C,32 °C,-,61 %,-,3 km/h,Nessuno,>
Torino,2025,Agosto,9,28 °C,21 °C,34 °C,-,61 %,-,4 km/h,Nessuno,>
Torino,2025,Agosto,10,29 °C,22 °C,36 °C,-,51 %,-,4 km/h,Nessuno,>
Torino,2025,Agosto,11,29 °C,23 °C,34 °C,-,51 %,-,4 km/h,Nessuno,>
Torino,2025,Agosto,12,29 °C,23 °C,35 °C,6 mm,56 %,-,3 km/h,,>
Torino,2025,Agosto,13,29 °C,23 °C,36 °C,0 mm,58 %,-,4 km/h,,>
Torino,2025,Agosto,14,29 °C,23 °C,35 °C,2 mm,52 %,-,4 km/h,Nessuno,>
Torino,2025,Agosto,15,29 °C,22 °C,35 °C,-,45 %,-,5 km/h,Nessuno,>
Torino,2025,Agosto,16,29 °C,22 °C,36 °C,-,45 %,-,6 km/h,Nessuno,>
Torino,2025,Agosto,17,28 °C,21 °C,34 °C,0 mm,45 %,11 km/h,6 km/h,Nessuno,>
Torino,2025,Agosto,18,27 °C,21 °C,31 °C,n/d,57 %,-,4 km/h,,>
Torino,2025,Agosto,19,25 °C,21 °C,29 °C,4 mm,66 %,-,3 km/h,,>
Torino,2025,Agosto,20,20 °C,18 °C,24 °C,1 mm,86 %,-,4 km/h,,>
Torino,2025,Agosto,21,21 °C,17 °C,27 °C,1 mm,74 %,-,4 km/h,,>
Torino,2025,Agosto,22,23 °C,16 °C,30 °C,0 mm,61 %,-,6 km/h,Nessuno,>
Torino,2025,Agosto,23,23 °C,19 °C,28 °C,0 mm,61 %,-,4 km/h,Nessuno,>
Torino,2025,Agosto,24,21 °C,19 °C,23 °C,2 mm,77 %,-,6 km/h,,>
Torino,2025,Agosto,25,22 °C,18 °C,26 °C,0 mm,70 %,-,3 km/h,Nessuno,>
Torino,2025,Agosto,26,23 °C,16 °C,29 °C,-,65 %,-,3 km/h,Nessuno,>
Torino,2025,Agosto,27,22 °C,20 °C,24 °C,10 mm,78 %,-,5 km/h,,>
Torino,2025,Agosto,28,20 °C,20 °C,22 °C,28 mm,91 %,-,5 km/h,,>
Torino,2025,Agosto,29,21 °C,17 °C,26 °C,4 mm,75 %,-,5 km/h,,>
Torino,2025,Agosto,30,20 °C,14 °C,26 °C,-,66 %,-,3 km/h,Nessuno,>
Torino,2025,Agosto,31,21 °C,15 °C,27 °C,-,63 %,-,3 km/h,Nessuno,>
