city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Torino,2025,Dicembre,1,6 °C,5 °C,9 °C,1 mm,79 %,-,2 km/h,,>
Torino,2025,Dicembre,2,7 °C,5 °C,9 °C,1 mm,85 %,-,1 km/h,,>
Torino,2025,Dicembre,3,7 °C,5 °C,9 °C,12 mm,88 %,-,2 km/h,,>
Torino,2025,Dicembre,4,8 °C,6 °C,10 °C,3 mm,83 %,-,2 km/h,,>
Torino,2025,Dicembre,5,7 °C,3 °C,12 °C,0 mm,75 %,-,1 km/h,Nessuno,>
Torino,2025,Dicembre,6,5 °C,1 °C,11 °C,-,71 %,-,1 km/h,Nessuno,>
Torino,2025,Dicembre,7,5 °C,1 °C,11 °C,0 mm,73 %,-,2 km/h,Nessuno,>
Torino,2025,Dicembre,8,7 °C,2 °C,14 °C,-,69 %,-,2 km/h,Nessuno,>
Torino,2025,Dicembre,9,7 °C,2 °C,16 °C,-,70 %,-,1 km/h,Nessuno,>
Torino,2025,Dicembre,10,7 °C,1 °C,13 °C,-,70 %,-,1 km/h,Nessuno,>
Torino,2025,Dicembre,11,6 °C,2 °C,12 °C,-,76 %,-,1 km/h,Nessuno,>
Torino,2025,Dicembre,12,6 °C,2 °C,13 °C,-,76 %,-,1 km/h,Nessuno,>
Torino,2025,Dicembre,13,6 °C,2 °C,13 °C,-,69 %,-,1 km/h,Nessuno,>
Torino,2025,Dicembre,14,7 °C,1 °C,14 °C,-,61 %,-,1 km/h,Nessuno,>
Torino,2025,Dicembre,15,5 °C,1 °C,10 °C,1 mm,69 %,-,2 km/h,Nessuno,>
Torino,2025,Dicembre,16,5 °C,5 °C,7 °C,23 mm,89 %,-,2 km/h,,>
Torino,2025,Dicembre,17,8 °C,6 °C,11 °C,4 mm,90 %,-,2 km/h,,>
Torino,2025,Dicembre,18,8 °C,6 °C,11 °C,0 mm,88 %,-,1 km/h,,>
Torino,2025,Dicembre,19,9 °C,6 °C,13 °C,0 mm,81 %,-,1 km/h,,>
Torino,2025,Dicembre,20,8 °C,6 °C,9 °C,3 mm,91 %,-,2 km/h,,>
Torino,2025,Dicembre,21,8 °C,7 °C,9 °C,7 mm,91 %,-,3 km/h,,>
Torino,2025,Dicembre,22,8 °C,7 °C,8 °C,10 mm,88 %,-,2 km/h,,>
Torino,2025,Dicembre,23,7 °C,7 °C,8 °C,15 mm,90 %,-,4 km/h,,>
Torino,2025,Dicembre,24,6 °C,4 °C,8 °C,25 mm,91 %,-,4 km/h,,>
Torino,2025,Dicembre,25,5 °C,4 °C,6 °C,22 mm,87 %,-,5 km/h,,>
Torino,2025,Dicembre,26,5 °C,3 °C,9 °C,5 mm,79 %,-,5 km/h,,>
Torino,2025,Dicembre,27,6 °C,1 °C,12 °C,-,73 %,-,2 km/h,Nessuno,>
Torino,2025,Dicembre,28,5 °C,-1 °C,12 °C,-,64 %,-,2 km/h,Nessuno,>
Torino,2025,Dicembre,29,5 °C,0 °C,11 °C,-,61 %,-,2 km/h,Nessuno,>
Torino,2025,Dicembre,30,4 °C,0 °C,10 °C,0 mm,67 %,-,4 km/h,Nessuno,>
Torino,2025,Dicembre,31,4 °C,1 °C,7 °C,0 mm,78 %,-,3 km/h,Nessuno,>
