city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Torino,2025,Novembre,1,14 °C,12 °C,18 °C,0 mm,83 %,-,3 km/h,Nessuno,>
Torino,2025,Novembre,2,13 °C,10 °C,16 °C,3 mm,88 %,-,4 km/h,,>
Torino,2025,Novembre,3,12 °C,5 °C,18 °C,-,64 %,-,5 km/h,,>
Torino,2025,Novembre,4,10 °C,5 °C,17 °C,-,60 %,-,2 km/h,Nessuno,>
Torino,2025,Novembre,5,10 °C,5 °C,17 °C,-,63 %,-,1 km/h,Nessuno,>
Torino,2025,Novembre,6,9 °C,4 °C,16 °C,-,61 %,-,1 km/h,Nessuno,>
Torino,2025,Novembre,7,9 °C,4 °C,14 °C,0 mm,62 %,-,2 km/h,Nessuno,>
Torino,2025,Novembre,8,8 °C,3 °C,14 °C,-,67 %,-,2 km/h,Nessuno,>
Torino,2025,Novembre,9,9 °C,4 °C,14 °C,-,70 %,-,1 km/h,Nessuno,>
Torino,2025,Novembre,10,9 °C,3 °C,15 °C,-,68 %,-,2 km/h,Nessuno,>
Torino,2025,Novembre,11,9 °C,4 °C,16 °C,-,63 %,-,2 km/h,Nessuno,>
Torino,2025,Novembre,12,10 °C,4 °C,16 °C,-,65 %,-,2 km/h,Nessuno,>
Torino,2025,Novembre,13,10 °C,4 °C,16 °C,0 mm,64 %,-,2 km/h,Nessuno,>
Torino,2025,Novembre,14,12 °C,10 °C,14 °C,2 mm,68 %,-,2 km/h,Nessuno,>
Torino,2025,Novembre,15,11 °C,10 °C,12 °C,4 mm,91 %,-,2 km/h,,>
Torino,2025,Novembre,16,11 °C,10 °C,11 °C,9 mm,95 %,-,2 km/h,,>
Torino,2025,Novembre,17,10 °C,7 °C,14 °C,0 mm,86 %,-,4 km/h,,>
Torino,2025,Novembre,18,7 °C,5 °C,11 °C,0 mm,75 %,-,3 km/h,Nessuno,>
Torino,2025,Novembre,19,6 °C,6 °C,8 °C,0 mm,76 %,-,3 km/h,Nessuno,>
Torino,2025,Novembre,20,5 °C,3 °C,9 °C,1 mm,74 %,-,3 km/h,,>
Torino,2025,Novembre,21,4 °C,1 °C,7 °C,2 mm,71 %,-,4 km/h,,>
Torino,2025,Novembre,22,4 °C,-1 °C,11 °C,-,59 %,-,2 km/h,Nessuno,>
Torino,2025,Novembre,23,2 °C,-2 °C,7 °C,0 mm,61 %,-,2 km/h,Nessuno,>
Torino,2025,Novembre,24,3 °C,1 °C,4 °C,1 mm,72 %,-,2 km/h,Nessuno,>
Torino,2025,Novembre,25,3 °C,-2 °C,11 °C,n/d,70 %,-,4 km/h,,>
Torino,2025,Novembre,26,6 °C,1 °C,13 °C,0 mm,46 %,-,4 km/h,Nessuno,>
Torino,2025,Novembre,27,5 °C,0 °C,12 °C,-,43 %,-,2 km/h,Nessuno,>
Torino,2025,Novembre,28,3 °C,-2 °C,10 °C,-,53 %,-,1 km/h,Nessuno,>
Torino,2025,Novembre,29,5 °C,0 °C,11 °C,-,51 %,-,1 km/h,Nessuno,>
Torino,2025,Novembre,30,5 °C,0 °C,10 °C,0 mm,57 %,-,2 km/h,Nessuno,>
