city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Torino,2025,Ottobre,1,16 °C,14 °C,19 °C,3 mm,76 %,-,5 km/h,,>
Torino,2025,Ottobre,2,15 °C,12 °C,18 °C,0 mm,57 %,-,5 km/h,Nessuno,>
Torino,2025,Ottobre,3,13 °C,9 °C,18 °C,-,66 %,-,3 km/h,Nessuno,>
Torino,2025,Ottobre,4,13 °C,9 °C,18 °C,0 mm,73 %,-,3 km/h,Nessuno,>
Torino,2025,Ottobre,5,15 °C,7 °C,22 °C,-,59 %,-,8 km/h,Nessuno,>
Torino,2025,Ottobre,6,13 °C,6 °C,21 °C,-,53 %,-,2 km/h,Nessuno,>
Torino,2025,Ottobre,7,16 °C,7 °C,24 °C,-,53 %,-,3 km/h,Nessuno,>
Torino,2025,Ottobre,8,16 °C,10 °C,21 °C,-,64 %,-,2 km/h,Nessuno,>
Torino,2025,Ottobre,9,16 °C,10 °C,22 °C,-,71 %,-,2 km/h,Nessuno,>
Torino,2025,Ottobre,10,17 °C,11 °C,23 °C,-,71 %,-,2 km/h,Nessuno,>
Torino,2025,Ottobre,11,17 °C,11 °C,22 °C,-,71 %,-,2 km/h,Nessuno,>
Torino,2025,Ottobre,12,18 °C,15 °C,21 °C,0 mm,74 %,-,2 km/h,Nessuno,>
Torino,2025,Ottobre,13,17 °C,14 °C,19 °C,0 mm,79 %,-,2 km/h,Nessuno,>
Torino,2025,Ottobre,14,16 °C,14 °C,19 °C,0 mm,80 %,-,2 km/h,Nessuno,>
Torino,2025,Ottobre,15,16 °C,12 °C,19 °C,1 mm,77 %,-,2 km/h,Nessuno,>
Torino,2025,Ottobre,16,15 °C,14 °C,18 °C,2 mm,74 %,-,2 km/h,Nessuno,>
Torino,2025,Ottobre,17,15 °C,12 °C,18 °C,0 mm,68 %,-,2 km/h,Nessuno,>
Torino,2025,Ottobre,18,14 °C,9 °C,19 °C,0 mm,68 %,-,2 km/h,Nessuno,>
Torino,2025,Ottobre,19,15 °C,13 °C,17 °C,0 mm,65 %,-,3 km/h,Nessuno,>
Torino,2025,Ottobre,20,12 °C,11 °C,13 °C,5 mm,80 %,-,3 km/h,,>
Torino,2025,Ottobre,21,12 °C,9 °C,17 °C,0 mm,80 %,-,2 km/h,,>
Torino,2025,Ottobre,22,14 °C,10 °C,19 °C,0 mm,75 %,-,1 km/h,Nessuno,>
Torino,2025,Ottobre,23,13 °C,12 °C,17 °C,3 mm,75 %,42 km/h,5 km/h,,>
Torino,2025,Ottobre,24,15 °C,9 °C,21 °C,-,31 %,28 km/h,5 km/h,Nessuno,>
Torino,2025,Ottobre,25,11 °C,5 °C,16 °C,0 mm,56 %,-,2 km/h,Nessuno,>
Torino,2025,Ottobre,26,11 °C,5 °C,18 °C,-,55 %,31 km/h,12 km/h,Nessuno,>
Torino,2025,Ottobre,27,10 °C,4 °C,17 °C,0 mm,44 %,-,4 km/h,Nessuno,>
Torino,2025,Ottobre,28,12 °C,5 °C,20 °C,-,56 %,-,4 km/h,Nessuno,>
Torino,2025,Ottobre,29,11 °C,8 °C,13 °C,5 mm,81 %,-,3 km/h,,>
Torino,2025,Ottobre,30,13 °C,10 °C,18 °C,4 mm,82 %,-,3 km/h,,>
Torino,2025,Ottobre,31,14 °C,12 °C,18 °C,0 mm,82 %,-,1 km/h,Nessuno,>
