city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Torino,2025,Settembre,1,19 °C,18 °C,21 °C,8 mm,83 %,-,4 km/h,,>
Torino,2025,Settembre,2,20 °C,15 °C,25 °C,1 mm,77 %,-,4 km/h,,>
Torino,2025,Settembre,3,21 °C,15 °C,27 °C,-,70 %,-,2 km/h,Nessuno,>
Torino,2025,Settembre,4,21 °C,17 °C,26 °C,0 mm,71 %,-,2 km/h,,>
Torino,2025,Settembre,5,21 °C,16 °C,27 °C,-,67 %,-,2 km/h,Nessuno,>
Torino,2025,Settembre,6,21 °C,15 °C,26 °C,-,62 %,-,2 km/h,Nessuno,>
Torino,2025,Settembre,7,21 °C,15 °C,27 °C,-,62 %,-,2 km/h,Nessuno,>
Torino,2025,Settembre,8,20 °C,16 °C,24 °C,0 mm,71 %,-,3 km/h,Nessuno,>
Torino,2025,Settembre,9,22 °C,19 °C,25 °C,10 mm,75 %,-,4 km/h,,>
Torino,2025,Settembre,10,20 °C,17 °C,24 °C,2 mm,81 %,-,6 km/h,,>
Torino,2025,Settembre,11,21 °C,16 °C,26 °C,0 mm,72 %,-,4 km/h,Nessuno,>
Torino,2025,Settembre,12,21 °C,15 °C,25 °C,0 mm,69 %,-,2 km/h,,>
Torino,2025,Settembre,13,19 °C,16 °C,22 °C,2 mm,82 %,-,3 km/h,Nessuno,>
Torino,2025,Settembre,14,20 °C,17 °C,25 °C,0 mm,75 %,-,2 km/h,,>
Torino,2025,Settembre,15,21 °C,15 °C,25 °C,0 mm,75 %,-,3 km/h,Nessuno,>
Torino,2025,Settembre,16,22 °C,17 °C,27 °C,0 mm,72 %,-,5 km/h,Nessuno,>
Torino,2025,Settembre,17,20 °C,14 °C,25 °C,-,65 %,-,5 km/h,Nessuno,>
Torino,2025,Settembre,18,21 °C,16 °C,25 °C,-,73 %,-,2 km/h,Nessuno,>
Torino,2025,Settembre,19,22 °C,16 °C,28 °C,-,72 %,-,2 km/h,Nessuno,>
Torino,2025,Settembre,20,23 °C,17 °C,28 °C,0 mm,70 %,-,4 km/h,Nessuno,>
Torino,2025,Settembre,21,22 °C,18 °C,25 °C,7 mm,78 %,-,5 km/h,,>
Torino,2025,Settembre,22,18 °C,17 °C,21 °C,11 mm,91 %,-,4 km/h,,>
Torino,2025,Settembre,23,19 °C,16 °C,24 °C,4 mm,75 %,-,4 km/h,,>
Torino,2025,Settembre,24,14 °C,11 °C,17 °C,6 mm,72 %,-,4 km/h,,>
Torino,2025,Settembre,25,13 °C,8 °C,19 °C,2 mm,70 %,-,3 km/h,Nessuno,>
Torino,2025,Settembre,26,13 °C,11 °C,15 °C,12 mm,82 %,-,2 km/h,,>
Torino,2025,Settembre,27,14 °C,12 °C,17 °C,0 mm,82 %,-,3 km/h,,>
Torino,2025,Settembre,28,15 °C,8 °C,22 °C,-,68 %,-,2 km/h,Nessuno,>
Torino,2025,Settembre,29,16 °C,9 °C,22 °C,-,65 %,-,2 km/h,Nessuno,>
Torino,2025,Settembre,30,16 °C,11 °C,22 °C,1 mm,68 %,-,3 km/h,Nessuno,>
