city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Trento,2025,Agosto,1,21 °C,17 °C,25 °C,7 mm,74 %,-,5 km/h,,>
Trento,2025,Agosto,2,18 °C,16 °C,22 °C,14 mm,84 %,-,7 km/h,,>
Trento,2025,Agosto,3,23 °C,13 °C,29 °C,-,47 %,-,7 km/h,Nessuno,>
Trento,2025,Agosto,4,22 °C,13 °C,28 °C,-,59 %,-,5 km/h,Nessuno,>
Trento,2025,Agosto,5,25 °C,14 °C,30 °C,1 mm,58 %,-,8 km/h,Nessuno,>
Trento,2025,Agosto,6,25 °C,18 °C,30 °C,-,62 %,11 km/h,8 km/h,Nessuno,>
Trento,2025,Agosto,7,26 °C,20 °C,30 °C,0 mm,57 %,-,5 km/h,Nessuno,>
Trento,2025,Agosto,8,28 °C,20 °C,33 °C,-,57 %,-,6 km/h,Nessuno,>
Trento,2025,Agosto,9,29 °C,19 °C,35 °C,-,58 %,-,6 km/h,Nessuno,>
Trento,2025,Agosto,10,30 °C,21 °C,36 °C,-,52 %,-,5 km/h,Nessuno,>
Trento,2025,Agosto,11,30 °C,20 °C,35 °C,-,52 %,-,7 km/h,Nessuno,>
Trento,2025,Agosto,12,30 °C,21 °C,35 °C,1 mm,57 %,-,6 km/h,Nessuno,>
Trento,2025,Agosto,13,31 °C,22 °C,35 °C,0 mm,55 %,-,7 km/h,Nessuno,>
Trento,2025,Agosto,14,31 °C,22 °C,37 °C,0 mm,44 %,-,6 km/h,Nessuno,>
Trento,2025,Agosto,15,28 °C,22 °C,35 °C,3 mm,50 %,17 km/h,7 km/h,,>
Trento,2025,Agosto,16,25 °C,18 °C,30 °C,4 mm,54 %,-,7 km/h,Nessuno,>
Trento,2025,Agosto,17,26 °C,17 °C,31 °C,2 mm,45 %,15 km/h,5 km/h,Nessuno,>
Trento,2025,Agosto,18,26 °C,16 °C,31 °C,-,48 %,-,7 km/h,Nessuno,>
Trento,2025,Agosto,19,27 °C,22 °C,31 °C,2 mm,50 %,-,7 km/h,Nessuno,>
Trento,2025,Agosto,20,21 °C,19 °C,23 °C,3 mm,86 %,-,5 km/h,,>
Trento,2025,Agosto,21,21 °C,18 °C,24 °C,6 mm,83 %,-,5 km/h,,>
Trento,2025,Agosto,22,23 °C,16 °C,30 °C,-,58 %,13 km/h,6 km/h,Nessuno,>
Trento,2025,Agosto,23,23 °C,17 °C,26 °C,0 mm,59 %,-,7 km/h,Nessuno,>
Trento,2025,Agosto,24,21 °C,12 °C,25 °C,1 mm,53 %,-,9 km/h,Nessuno,>
Trento,2025,Agosto,25,23 °C,17 °C,28 °C,0 mm,54 %,-,4 km/h,Nessuno,>
Trento,2025,Agosto,26,24 °C,16 °C,29 °C,-,54 %,-,7 km/h,Nessuno,>
Trento,2025,Agosto,27,24 °C,19 °C,28 °C,1 mm,66 %,-,7 km/h,,>
Trento,2025,Agosto,28,21 °C,19 °C,22 °C,15 mm,92 %,-,6 km/h,,>
Trento,2025,Agosto,29,21 °C,15 °C,27 °C,1 mm,77 %,-,9 km/h,,>
Trento,2025,Agosto,30,20 °C,14 °C,26 °C,2 mm,66 %,-,7 km/h,,>
Trento,2025,Agosto,31,21 °C,11 °C,27 °C,-,58 %,-,6 km/h,Nessuno,>
