city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Trento,2025,Dicembre,1,4 °C,0 °C,6 °C,1 mm,80 %,-,1 km/h,,>
Trento,2025,Dicembre,2,6 °C,3 °C,9 °C,0 mm,82 %,-,1 km/h,Nessuno,>
Trento,2025,Dicembre,3,6 °C,4 °C,9 °C,0 mm,84 %,-,1 km/h,Nessuno,>
Trento,2025,Dicembre,4,6 °C,2 °C,9 °C,1 mm,82 %,-,1 km/h,,>
Trento,2025,Dicembre,5,6 °C,0 °C,12 °C,1 mm,86 %,-,2 km/h,,>
Trento,2025,Dicembre,6,3 °C,-1 °C,9 °C,-,80 %,-,1 km/h,Nessuno,>
Trento,2025,Dicembre,7,4 °C,-1 °C,7 °C,1 mm,77 %,-,2 km/h,Nessuno,>
Trento,2025,Dicembre,8,5 °C,0 °C,12 °C,0 mm,80 %,-,3 km/h,Nessuno,>
Trento,2025,Dicembre,9,4 °C,-1 °C,11 °C,-,86 %,-,3 km/h,,>
Trento,2025,Dicembre,10,3 °C,-2 °C,10 °C,-,85 %,-,1 km/h,Nessuno,>
Trento,2025,Dicembre,11,2 °C,-2 °C,7 °C,-,87 %,-,3 km/h,Nessuno,>
Trento,2025,Dicembre,12,2 °C,-3 °C,9 °C,-,83 %,-,3 km/h,Nessuno,>
Trento,2025,Dicembre,13,2 °C,-4 °C,10 °C,-,78 %,-,4 km/h,Nessuno,>
Trento,2025,Dicembre,14,2 °C,-3 °C,9 °C,-,74 %,-,4 km/h,Nessuno,>
Trento,2025,Dicembre,15,2 °C,-5 °C,7 °C,-,75 %,-,4 km/h,Nessuno,>
Trento,2025,Dicembre,16,3 °C,0 °C,5 °C,2 mm,86 %,-,2 km/h,,>
Trento,2025,Dicembre,17,5 °C,3 °C,7 °C,4 mm,95 %,-,2 km/h,,>
Trento,2025,Dicembre,18,7 °C,5 °C,9 °C,1 mm,95 %,-,1 km/h,,>
Trento,2025,Dicembre,19,7 °C,4 °C,12 °C,0 mm,89 %,-,2 km/h,,>
Trento,2025,Dicembre,20,4 °C,0 °C,10 °C,-,87 %,-,2 km/h,Nessuno,>
Trento,2025,Dicembre,21,2 °C,-2 °C,9 °C,-,83 %,-,1 km/h,Nessuno,>
Trento,2025,Dicembre,22,2 °C,-3 °C,7 °C,-,83 %,-,1 km/h,Nessuno,>
Trento,2025,Dicembre,23,3 °C,-1 °C,6 °C,0 mm,79 %,-,2 km/h,Nessuno,>
Trento,2025,Dicembre,24,3 °C,-2 °C,5 °C,2 mm,85 %,-,2 km/h,,>
Trento,2025,Dicembre,25,3 °C,-1 °C,7 °C,0 mm,89 %,-,1 km/h,Nessuno,>
Trento,2025,Dicembre,26,1 °C,-4 °C,8 °C,-,80 %,-,1 km/h,Nessuno,>
Trento,2025,Dicembre,27,1 °C,-4 °C,7 °C,-,77 %,-,1 km/h,Nessuno,>
Trento,2025,Dicembre,28,2 °C,-4 °C,10 °C,-,71 %,-,2 km/h,Nessuno,>
Trento,2025,Dicembre,29,1 °C,-6 °C,8 °C,-,70 %,-,2 km/h,Nessuno,>
Trento,2025,Dicembre,30,3 °C,-6 °C,8 °C,-,59 %,-,6 km/h,Nessuno,>
Trento,2025,Dicembre,31,-1 °C,-6 °C,6 °C,-,56 %,-,1 km/h,Nessuno,>
