city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Trento,2025,Novembre,1,15 °C,12 °C,18 °C,0 mm,86 %,-,2 km/h,,>
Trento,2025,Novembre,2,13 °C,9 °C,16 °C,34 mm,95 %,26 km/h,4 km/h,,>
Trento,2025,Novembre,3,11 °C,5 °C,18 °C,-,66 %,-,3 km/h,Nessuno,>
Trento,2025,Novembre,4,7 °C,2 °C,14 °C,-,74 %,-,1 km/h,Nessuno,>
Trento,2025,Novembre,5,8 °C,1 °C,14 °C,-,76 %,-,1 km/h,Nessuno,>
Trento,2025,Novembre,6,7 °C,1 °C,14 °C,-,74 %,-,1 km/h,Nessuno,>
Trento,2025,Novembre,7,6 °C,-1 °C,14 °C,-,74 %,-,1 km/h,Nessuno,>
Trento,2025,Novembre,8,6 °C,-1 °C,13 °C,-,78 %,-,1 km/h,Nessuno,>
Trento,2025,Novembre,9,6 °C,0 °C,13 °C,-,80 %,-,2 km/h,Nessuno,>
Trento,2025,Novembre,10,7 °C,1 °C,14 °C,-,78 %,-,1 km/h,Nessuno,>
Trento,2025,Novembre,11,7 °C,0 °C,14 °C,-,77 %,-,1 km/h,Nessuno,>
Trento,2025,Novembre,12,6 °C,0 °C,13 °C,-,77 %,-,1 km/h,Nessuno,>
Trento,2025,Novembre,13,7 °C,0 °C,14 °C,-,78 %,-,1 km/h,Nessuno,>
Trento,2025,Novembre,14,7 °C,0 °C,12 °C,-,81 %,-,1 km/h,Nessuno,>
Trento,2025,Novembre,15,9 °C,7 °C,12 °C,4 mm,83 %,-,2 km/h,,>
Trento,2025,Novembre,16,10 °C,8 °C,11 °C,15 mm,96 %,-,2 km/h,,>
Trento,2025,Novembre,17,11 °C,10 °C,13 °C,7 mm,82 %,21 km/h,4 km/h,,>
Trento,2025,Novembre,18,6 °C,0 °C,12 °C,0 mm,55 %,-,4 km/h,Nessuno,>
Trento,2025,Novembre,19,3 °C,-3 °C,7 °C,0 mm,70 %,-,2 km/h,Nessuno,>
Trento,2025,Novembre,20,4 °C,2 °C,7 °C,6 mm,85 %,-,2 km/h,,>
Trento,2025,Novembre,21,4 °C,1 °C,7 °C,3 mm,73 %,-,4 km/h,,>
Trento,2025,Novembre,22,5 °C,-1 °C,9 °C,0 mm,34 %,9 km/h,2 km/h,Nessuno,>
Trento,2025,Novembre,23,0 °C,-5 °C,5 °C,-,58 %,-,1 km/h,Nessuno,>
Trento,2025,Novembre,24,2 °C,0 °C,3 °C,4 mm,63 %,-,1 km/h,,>
Trento,2025,Novembre,25,2 °C,0 °C,5 °C,3 mm,94 %,-,3 km/h,,>
Trento,2025,Novembre,26,6 °C,0 °C,12 °C,0 mm,59 %,-,2 km/h,Nessuno,>
Trento,2025,Novembre,27,4 °C,-2 °C,11 °C,-,53 %,-,2 km/h,Nessuno,>
Trento,2025,Novembre,28,1 °C,-4 °C,8 °C,-,63 %,-,1 km/h,Nessuno,>
Trento,2025,Novembre,29,1 °C,-4 °C,7 °C,-,68 %,-,1 km/h,Nessuno,>
Trento,2025,Novembre,30,2 °C,-4 °C,6 °C,0 mm,78 %,-,2 km/h,Nessuno,>
