city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Trento,2025,Ottobre,1,15 °C,8 °C,20 °C,0 mm,48 %,22 km/h,4 km/h,Nessuno,>
Trento,2025,Ottobre,2,12 °C,3 °C,18 °C,-,61 %,-,4 km/h,Nessuno,>
Trento,2025,Ottobre,3,11 °C,2 °C,18 °C,0 mm,65 %,-,5 km/h,Nessuno,>
Trento,2025,Ottobre,4,13 °C,6 °C,16 °C,4 mm,71 %,-,5 km/h,Nessuno,>
Trento,2025,Ottobre,5,14 °C,8 °C,18 °C,1 mm,59 %,-,3 km/h,Nessuno,>
Trento,2025,Ottobre,6,13 °C,3 °C,21 °C,-,58 %,-,4 km/h,Nessuno,>
Trento,2025,Ottobre,7,14 °C,4 °C,22 °C,-,70 %,-,2 km/h,Nessuno,>
Trento,2025,Ottobre,8,15 °C,7 °C,22 °C,-,71 %,-,2 km/h,Nessuno,>
Trento,2025,Ottobre,9,15 °C,9 °C,21 °C,1 mm,80 %,-,4 km/h,Nessuno,>
Trento,2025,Ottobre,10,16 °C,9 °C,23 °C,-,74 %,-,2 km/h,Nessuno,>
Trento,2025,Ottobre,11,15 °C,6 °C,22 °C,-,73 %,-,3 km/h,Nessuno,>
Trento,2025,Ottobre,12,14 °C,6 °C,22 °C,-,75 %,-,2 km/h,Nessuno,>
Trento,2025,Ottobre,13,14 °C,5 °C,21 °C,0 mm,76 %,-,2 km/h,Nessuno,>
Trento,2025,Ottobre,14,16 °C,11 °C,21 °C,0 mm,69 %,-,1 km/h,Nessuno,>
Trento,2025,Ottobre,15,15 °C,9 °C,21 °C,0 mm,66 %,-,4 km/h,Nessuno,>
Trento,2025,Ottobre,16,15 °C,11 °C,20 °C,0 mm,70 %,-,2 km/h,Nessuno,>
Trento,2025,Ottobre,17,14 °C,8 °C,20 °C,-,68 %,-,1 km/h,Nessuno,>
Trento,2025,Ottobre,18,12 °C,6 °C,19 °C,0 mm,70 %,-,3 km/h,Nessuno,>
Trento,2025,Ottobre,19,14 °C,10 °C,16 °C,0 mm,67 %,-,4 km/h,Nessuno,>
Trento,2025,Ottobre,20,13 °C,11 °C,15 °C,2 mm,75 %,-,2 km/h,Nessuno,>
Trento,2025,Ottobre,21,13 °C,11 °C,16 °C,1 mm,88 %,-,1 km/h,,>
Trento,2025,Ottobre,22,15 °C,11 °C,17 °C,0 mm,82 %,-,11 km/h,Nessuno,>
Trento,2025,Ottobre,23,13 °C,11 °C,14 °C,16 mm,92 %,31 km/h,11 km/h,,>
Trento,2025,Ottobre,24,11 °C,4 °C,18 °C,0 mm,63 %,-,3 km/h,Nessuno,>
Trento,2025,Ottobre,25,8 °C,1 °C,15 °C,2 mm,67 %,-,7 km/h,Nessuno,>
Trento,2025,Ottobre,26,11 °C,2 °C,17 °C,0 mm,55 %,-,4 km/h,Nessuno,>
Trento,2025,Ottobre,27,9 °C,1 °C,14 °C,2 mm,62 %,-,4 km/h,,>
Trento,2025,Ottobre,28,9 °C,2 °C,16 °C,-,74 %,-,2 km/h,Nessuno,>
Trento,2025,Ottobre,29,7 °C,1 °C,10 °C,3 mm,84 %,-,2 km/h,,>
Trento,2025,Ottobre,30,11 °C,8 °C,14 °C,5 mm,91 %,-,2 km/h,,>
Trento,2025,Ottobre,31,14 °C,11 °C,16 °C,1 mm,83 %,-,1 km/h,Nessuno,>
