city,year,month,Giorno G,T Media,T min,T max,Precip.,Umidità UR%,Vento Max,Raffica,Fenomeni,Info
Trento,2025,Settembre,1,21 °C,16 °C,24 °C,8 mm,73 %,-,9 km/h,,>
Trento,2025,Settembre,2,19 °C,15 °C,24 °C,2 mm,82 %,-,7 km/h,,>
Trento,2025,Settembre,3,20 °C,11 °C,26 °C,-,66 %,-,5 km/h,Nessuno,>
Trento,2025,Settembre,4,22 °C,12 °C,28 °C,0 mm,63 %,-,6 km/h,Nessuno,>
Trento,2025,Settembre,5,18 °C,12 °C,25 °C,4 mm,72 %,26 km/h,7 km/h,,>
Trento,2025,Settembre,6,18 °C,9 °C,25 °C,-,59 %,-,4 km/h,Nessuno,>
Trento,2025,Settembre,7,19 °C,11 °C,24 °C,-,67 %,-,2 km/h,Nessuno,>
Trento,2025,Settembre,8,20 °C,11 °C,26 °C,0 mm,68 %,-,2 km/h,Nessuno,>
Trento,2025,Settembre,9,20 °C,16 °C,22 °C,2 mm,78 %,-,4 km/h,,>
Trento,2025,Settembre,10,17 °C,16 °C,20 °C,11 mm,91 %,-,4 km/h,,>
Trento,2025,Settembre,11,21 °C,14 °C,26 °C,0 mm,67 %,-,8 km/h,Nessuno,>
Trento,2025,Settembre,12,21 °C,15 °C,25 °C,2 mm,72 %,-,5 km/h,Nessuno,>
Trento,2025,Settembre,13,20 °C,15 °C,23 °C,1 mm,75 %,-,8 km/h,Nessuno,>
Trento,2025,Settembre,14,21 °C,15 °C,26 °C,1 mm,69 %,-,2 km/h,Nessuno,>
Trento,2025,Settembre,15,23 °C,16 °C,28 °C,0 mm,65 %,-,2 km/h,Nessuno,>
Trento,2025,Settembre,16,22 °C,16 °C,27 °C,0 mm,68 %,-,3 km/h,Nessuno,>
Trento,2025,Settembre,17,21 °C,14 °C,26 °C,0 mm,54 %,-,4 km/h,Nessuno,>
Trento,2025,Settembre,18,21 °C,12 °C,27 °C,-,68 %,-,4 km/h,Nessuno,>
Trento,2025,Settembre,19,22 °C,13 °C,29 °C,-,67 %,-,2 km/h,Nessuno,>
Trento,2025,Settembre,20,22 °C,14 °C,29 °C,-,66 %,-,2 km/h,Nessuno,>
Trento,2025,Settembre,21,23 °C,16 °C,29 °C,0 mm,65 %,-,3 km/h,Nessuno,>
Trento,2025,Settembre,22,18 °C,15 °C,20 °C,10 mm,92 %,-,1 km/h,,>
Trento,2025,Settembre,23,18 °C,15 °C,20 °C,5 mm,92 %,-,2 km/h,,>
Trento,2025,Settembre,24,15 °C,12 °C,18 °C,5 mm,90 %,-,2 km/h,,>
Trento,2025,Settembre,25,15 °C,9 °C,19 °C,1 mm,79 %,-,2 km/h,,>
Trento,2025,Settembre,26,13 °C,11 °C,15 °C,3 mm,91 %,-,2 km/h,,>
Trento,2025,Settembre,27,14 °C,11 °C,18 °C,4 mm,88 %,-,3 km/h,,>
Trento,2025,Settembre,28,16 °C,11 °C,22 °C,0 mm,74 %,-,5 km/h,Nessuno,>
Trento,2025,Settembre,29,17 °C,9 °C,22 °C,0 mm,70 %,-,3 km/h,Nessuno,>
Trento,2025,Settembre,30,16 °C,12 °C,20 °C,1 mm,72 %,-,4 km/h,,>
